"Fold_ID","Feature_Label","Impact_SHAP_Value"
3,"Internet",0.00114005023411709
3,"Cell phone",0.000173179206569891
3,"Income",0.000150210708132134
3,"University degree",0.000137737849543395
3,"Migrants",0.000111992736232431
3,"Households",0.000109695213780211
3,"Extreme poverty",0.000101689203737513
3,"Population 0-14",9.27587423158209e-05
3,"Disability",9.05539608002187e-05
3,"Population",8.1930900581793e-05
3,"Mean occupants",7.88146222264015e-05
3,"Car",7.54320278614351e-05
3,"Electricity",7.0541076769414e-05
3,"Population 15-39",6.39615911461817e-05
3,"Literacy",5.80213983426947e-05
3,"Female",5.71622325884637e-05
3,"Educational lag",5.29774961430071e-05
3,"Poverty",4.44176676517408e-05
3,"Vulnerable income",4.29714024806093e-05
3,"Afrodescendants",4.02812291872237e-05
