"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
1,0.01,1,1,0.65,0.8,0,0,918,0.001460132780859
1,0.05,1,1,0.65,0.8,0,0,183,0.00146785279007356
1,0.1,1,1,0.65,0.8,0,0,83,0.00146765394566395
1,0.3,1,1,0.65,0.8,0,0,80,0.00154591652289893
1,0.01,3,1,0.65,0.8,0,0,975,0.00140718404328264
1,0.05,3,1,0.65,0.8,0,0,181,0.00137583666565571
1,0.1,3,1,0.65,0.8,0,0,120,0.00144819857486317
1,0.3,3,1,0.65,0.8,0,0,29,0.00149296869598355
1,0.01,5,1,0.65,0.8,0,0,999,0.001349170249056
1,0.05,5,1,0.65,0.8,0,0,227,0.00140004072489255
1,0.1,5,1,0.65,0.8,0,0,87,0.00142805349314731
1,0.3,5,1,0.65,0.8,0,0,30,0.00152062128673609
1,0.01,7,1,0.65,0.8,0,0,1168,0.00137160007998448
1,0.05,7,1,0.65,0.8,0,0,229,0.00138175737471966
1,0.1,7,1,0.65,0.8,0,0,117,0.00140641195215509
1,0.3,7,1,0.65,0.8,0,0,37,0.00154719928121053
1,0.01,1,3,0.65,0.8,0,0,1362,0.00141524031897588
1,0.05,1,3,0.65,0.8,0,0,207,0.00145479518334677
1,0.1,1,3,0.65,0.8,0,0,213,0.00144156885528005
1,0.3,1,3,0.65,0.8,0,0,39,0.00150090284659996
1,0.01,3,3,0.65,0.8,0,0,998,0.00135728588314009
1,0.05,3,3,0.65,0.8,0,0,277,0.00138832375063659
1,0.1,3,3,0.65,0.8,0,0,102,0.00138103706052339
1,0.3,3,3,0.65,0.8,0,0,45,0.00144385021924322
1,0.01,5,3,0.65,0.8,0,0,929,0.00138079528733558
1,0.05,5,3,0.65,0.8,0,0,235,0.00139541958928942
1,0.1,5,3,0.65,0.8,0,0,97,0.00138151363716191
1,0.3,5,3,0.65,0.8,0,0,26,0.00152830121189308
1,0.01,7,3,0.65,0.8,0,0,1014,0.00135938366779079
1,0.05,7,3,0.65,0.8,0,0,189,0.00142532221326919
1,0.1,7,3,0.65,0.8,0,0,97,0.00140972743081182
1,0.3,7,3,0.65,0.8,0,0,31,0.00149795229064492
1,0.01,1,5,0.65,0.8,0,0,1027,0.00148214147585633
1,0.05,1,5,0.65,0.8,0,0,315,0.00145818632787129
1,0.1,1,5,0.65,0.8,0,0,114,0.00149180833171949
1,0.3,1,5,0.65,0.8,0,0,58,0.00151916149073175
1,0.01,3,5,0.65,0.8,0,0,951,0.00137354097906206
1,0.05,3,5,0.65,0.8,0,0,207,0.00137911246743892
1,0.1,3,5,0.65,0.8,0,0,104,0.00138006409456083
1,0.3,3,5,0.65,0.8,0,0,27,0.00145229074809221
1,0.01,5,5,0.65,0.8,0,0,948,0.00139442433340925
1,0.05,5,5,0.65,0.8,0,0,202,0.00134910727963437
1,0.1,5,5,0.65,0.8,0,0,117,0.00136735895270414
1,0.3,5,5,0.65,0.8,0,0,31,0.00145680530403685
1,0.01,7,5,0.65,0.8,0,0,976,0.00137206440929519
1,0.05,7,5,0.65,0.8,0,0,183,0.00141734315488869
1,0.1,7,5,0.65,0.8,0,0,110,0.00139684253684679
1,0.3,7,5,0.65,0.8,0,0,29,0.0014528614627596
1,0.01,1,7,0.65,0.8,0,0,882,0.001516813098392
1,0.05,1,7,0.65,0.8,0,0,254,0.00147158099879477
1,0.1,1,7,0.65,0.8,0,0,124,0.00150038676622862
1,0.3,1,7,0.65,0.8,0,0,52,0.0015437615619874
1,0.01,3,7,0.65,0.8,0,0,1011,0.00137130944375854
1,0.05,3,7,0.65,0.8,0,0,219,0.0014304159433529
1,0.1,3,7,0.65,0.8,0,0,106,0.00140542663347601
1,0.3,3,7,0.65,0.8,0,0,34,0.00151027965378899
1,0.01,5,7,0.65,0.8,0,0,905,0.00134728208676369
1,0.05,5,7,0.65,0.8,0,0,174,0.00141882696924366
1,0.1,5,7,0.65,0.8,0,0,96,0.00141481941119787
1,0.3,5,7,0.65,0.8,0,0,25,0.00146971748419983
1,0.01,7,7,0.65,0.8,0,0,977,0.00138259816350835
1,0.05,7,7,0.65,0.8,0,0,186,0.00137525104733593
1,0.1,7,7,0.65,0.8,0,0,95,0.00140509756908706
1,0.3,7,7,0.65,0.8,0,0,35,0.00149222175555489
1,0.01,1,1,0.8,0.8,0,0,899,0.00147801637656187
1,0.05,1,1,0.8,0.8,0,0,285,0.00145343040418414
1,0.1,1,1,0.8,0.8,0,0,105,0.00144241578547052
1,0.3,1,1,0.8,0.8,0,0,83,0.00152099572637602
1,0.01,3,1,0.8,0.8,0,0,1051,0.00143000098960919
1,0.05,3,1,0.8,0.8,0,0,215,0.00143516682588723
1,0.1,3,1,0.8,0.8,0,0,106,0.00137423320571728
1,0.3,3,1,0.8,0.8,0,0,43,0.00144420026719119
1,0.01,5,1,0.8,0.8,0,0,1048,0.00137023808620118
1,0.05,5,1,0.8,0.8,0,0,248,0.00144214263151694
1,0.1,5,1,0.8,0.8,0,0,87,0.00147160044095072
1,0.3,5,1,0.8,0.8,0,0,28,0.0014997584289004
1,0.01,7,1,0.8,0.8,0,0,1339,0.00134205726493776
1,0.05,7,1,0.8,0.8,0,0,296,0.00140331467235552
1,0.1,7,1,0.8,0.8,0,0,147,0.00151302587004255
1,0.3,7,1,0.8,0.8,0,0,41,0.00153443895075312
1,0.01,1,3,0.8,0.8,0,0,1473,0.00144260739465979
1,0.05,1,3,0.8,0.8,0,0,260,0.00147636321628333
1,0.1,1,3,0.8,0.8,0,0,203,0.00144659929590319
1,0.3,1,3,0.8,0.8,0,0,57,0.00150111939001294
1,0.01,3,3,0.8,0.8,0,0,1057,0.00137214472437148
1,0.05,3,3,0.8,0.8,0,0,255,0.00138174297984377
1,0.1,3,3,0.8,0.8,0,0,92,0.00142443297763479
1,0.3,3,3,0.8,0.8,0,0,61,0.00145937115568758
1,0.01,5,3,0.8,0.8,0,0,1059,0.00137653329215771
1,0.05,5,3,0.8,0.8,0,0,224,0.00139096464698942
1,0.1,5,3,0.8,0.8,0,0,98,0.00137678454123318
1,0.3,5,3,0.8,0.8,0,0,35,0.00144510740501685
1,0.01,7,3,0.8,0.8,0,0,989,0.00138656071935153
1,0.05,7,3,0.8,0.8,0,0,189,0.00137104755788926
1,0.1,7,3,0.8,0.8,0,0,96,0.00139627273834723
1,0.3,7,3,0.8,0.8,0,0,41,0.00151362776443542
1,0.01,1,5,0.8,0.8,0,0,1338,0.00145278830612877
1,0.05,1,5,0.8,0.8,0,0,374,0.00145936767646785
1,0.1,1,5,0.8,0.8,0,0,199,0.00148855549792155
1,0.3,1,5,0.8,0.8,0,0,66,0.00147774395077946
1,0.01,3,5,0.8,0.8,0,0,915,0.00138013373307816
1,0.05,3,5,0.8,0.8,0,0,218,0.00141270690072519
1,0.1,3,5,0.8,0.8,0,0,124,0.0013815507248401
1,0.3,3,5,0.8,0.8,0,0,38,0.00142895542652015
1,0.01,5,5,0.8,0.8,0,0,962,0.00137746805658214
1,0.05,5,5,0.8,0.8,0,0,204,0.00137612236514935
1,0.1,5,5,0.8,0.8,0,0,89,0.00139035100322183
1,0.3,5,5,0.8,0.8,0,0,27,0.00142867253977376
1,0.01,7,5,0.8,0.8,0,0,989,0.00136682593112704
1,0.05,7,5,0.8,0.8,0,0,205,0.00137706836289297
1,0.1,7,5,0.8,0.8,0,0,112,0.00138579027813924
1,0.3,7,5,0.8,0.8,0,0,25,0.00146514853021631
1,0.01,1,7,0.8,0.8,0,0,1098,0.00149923272246704
1,0.05,1,7,0.8,0.8,0,0,269,0.00147534659434149
1,0.1,1,7,0.8,0.8,0,0,167,0.00148974462463998
1,0.3,1,7,0.8,0.8,0,0,58,0.00152636366922104
1,0.01,3,7,0.8,0.8,0,0,962,0.00142099651146138
1,0.05,3,7,0.8,0.8,0,0,325,0.00135736368493676
1,0.1,3,7,0.8,0.8,0,0,94,0.00141488317291104
1,0.3,3,7,0.8,0.8,0,0,25,0.00139200433957572
1,0.01,5,7,0.8,0.8,0,0,954,0.00139895775233925
1,0.05,5,7,0.8,0.8,0,0,211,0.00136518229875187
1,0.1,5,7,0.8,0.8,0,0,108,0.00139857413850064
1,0.3,5,7,0.8,0.8,0,0,25,0.00150121108123791
1,0.01,7,7,0.8,0.8,0,0,953,0.00137032069333735
1,0.05,7,7,0.8,0.8,0,0,222,0.00138529567373983
1,0.1,7,7,0.8,0.8,0,0,89,0.00138895204167285
1,0.3,7,7,0.8,0.8,0,0,33,0.00144249620564058
1,0.01,1,1,1,0.8,0,0,1517,0.00146741151204385
1,0.05,1,1,1,0.8,0,0,237,0.00145023827803881
1,0.1,1,1,1,0.8,0,0,202,0.00148321892411018
1,0.3,1,1,1,0.8,0,0,59,0.00151854338903181
1,0.01,3,1,1,0.8,0,0,1001,0.00141477732697186
1,0.05,3,1,1,0.8,0,0,232,0.00139753013281044
1,0.1,3,1,1,0.8,0,0,108,0.00141205009938949
1,0.3,3,1,1,0.8,0,0,53,0.00147197114752985
1,0.01,5,1,1,0.8,0,0,1185,0.00139056584395871
1,0.05,5,1,1,0.8,0,0,264,0.00137442612354005
1,0.1,5,1,1,0.8,0,0,135,0.00141374446229504
1,0.3,5,1,1,0.8,0,0,44,0.00149963488542088
1,0.01,7,1,1,0.8,0,0,1185,0.00139876759342771
1,0.05,7,1,1,0.8,0,0,264,0.00140495476519916
1,0.1,7,1,1,0.8,0,0,135,0.00149266538444915
1,0.3,7,1,1,0.8,0,0,43,0.001452932070424
1,0.01,1,3,1,0.8,0,0,2396,0.00141319851609792
1,0.05,1,3,1,0.8,0,0,473,0.00142777102664682
1,0.1,1,3,1,0.8,0,0,223,0.00143702332354444
1,0.3,1,3,1,0.8,0,0,204,0.00144959277413803
1,0.01,3,3,1,0.8,0,0,945,0.00135837600981783
1,0.05,3,3,1,0.8,0,0,186,0.00140294128973944
1,0.1,3,3,1,0.8,0,0,128,0.0013741769652244
1,0.3,3,3,1,0.8,0,0,31,0.00144090794598077
1,0.01,5,3,1,0.8,0,0,1185,0.00135655009801166
1,0.05,5,3,1,0.8,0,0,264,0.00137621477798268
1,0.1,5,3,1,0.8,0,0,135,0.00141518687588703
1,0.3,5,3,1,0.8,0,0,26,0.00148033629185199
1,0.01,7,3,1,0.8,0,0,1185,0.00140139183671814
1,0.05,7,3,1,0.8,0,0,264,0.00141346356853201
1,0.1,7,3,1,0.8,0,0,135,0.00142739134295011
1,0.3,7,3,1,0.8,0,0,44,0.00146828618886392
1,0.01,1,5,1,0.8,0,0,1890,0.001468615353844
1,0.05,1,5,1,0.8,0,0,353,0.00147116453532793
1,0.1,1,5,1,0.8,0,0,198,0.00145250837661529
1,0.3,1,5,1,0.8,0,0,115,0.00151526520287841
1,0.01,3,5,1,0.8,0,0,966,0.0013864465121089
1,0.05,3,5,1,0.8,0,0,269,0.00138047481675388
