"Fold_ID","Feature_Label","Impact_SHAP_Value"
5,"Internet",0.000753065693091456
5,"Income",0.000457221083792928
5,"Spatial bias",0.000256096604617245
5,"Cell phone",0.000193256896930189
5,"Migrants",0.000117849712770675
5,"University degree",0.000103907222373454
5,"Poverty",8.19872307222541e-05
5,"Disability",7.83030450263715e-05
5,"Population",7.20889408275462e-05
5,"Households",6.872402412576e-05
5,"Car",6.26811619354658e-05
5,"Female",6.03662527634832e-05
5,"Population 0-14",5.83995100459671e-05
5,"Educational lag",5.65537227076355e-05
5,"Literacy",4.77482202009706e-05
5,"Extreme poverty",4.51067590937507e-05
5,"Population 15-39",4.407751784771e-05
5,"Electricity",4.26861082650143e-05
5,"Afrodescendants",3.16397846636437e-05
5,"Mean occupants",3.04925163857926e-05
