fold_id,eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
1,0.05,3,5,1,1,0,0,240,0.001285924
2,0.01,5,5,0.65,0.9,1,0,1095,0.00140609
3,0.01,7,3,0.8,1,0.5,0,1082,0.001294701
4,0.01,5,7,0.65,0.8,0,0,925,0.001273918
5,0.01,7,3,0.65,0.8,0.5,0,931,0.001470758
Promedio,0.018,5.4,4.6,0.75,0.9,0.4,0,854.6,0.001346
Desv_Estandar,0.017889,1.67332,1.67332,0.15411,0.1,0.41833,0,352.85592,0.000087
Reporte,0.018 ± 0.0179,5.4 ± 1.6733,4.6 ± 1.6733,0.75 ± 0.1541,0.9 ± 0.1,0.4 ± 0.4183,0 ± 0,854.6 ± 352.8559,0.0013 ± 0.0001
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
