"Area_code","Feature","Plot_label","SHAP_Value_Avg"
1001,"P_age_00_14","Population 0-14",-0.00268068932200549
1001,"P_age_15_39","Population 15-39",-0.00642468355363235
1001,"P_internet","Internet",-0.0011134317755932
1001,"P_read_write","Literacy",-0.00671291851904243
1001,"Total_Population","Population",0.0127176684327424
1001,"Total_houses","Households",0.0132327929604799
1001,"bias_w","Spatial bias",-0.0237557217478752
1002,"P_age_00_14","Population 0-14",0.0114033982390538
1002,"P_age_15_39","Population 15-39",-0.00446172861848027
1002,"P_internet","Internet",-0.00544894393533468
1002,"P_read_write","Literacy",-0.00407431658823043
1002,"Total_Population","Population",0.00687298795673996
1002,"Total_houses","Households",0.00464140769327059
1002,"bias_w","Spatial bias",0.00984160730149597
1003,"P_age_00_14","Population 0-14",0.00190359208500013
1003,"P_age_15_39","Population 15-39",-0.00380733457859606
1003,"P_internet","Internet",-0.00745237560477108
1003,"P_read_write","Literacy",-0.00275018421234563
1003,"Total_Population","Population",0.00832076615188271
1003,"Total_houses","Households",0.00577022769721225
1003,"bias_w","Spatial bias",-0.0236056349240243
1004,"P_age_00_14","Population 0-14",0.011213420657441
1004,"P_age_15_39","Population 15-39",-0.00614405481610447
1004,"P_internet","Internet",-0.0119328289292753
1004,"P_read_write","Literacy",-0.00522698427084833
1004,"Total_Population","Population",-0.000471140803711023
1004,"Total_houses","Households",-0.00153194830636494
1004,"bias_w","Spatial bias",0.0158513556234539
1005,"P_age_00_14","Population 0-14",0.00854302139487118
1005,"P_age_15_39","Population 15-39",-0.00640257319901139
1005,"P_internet","Internet",-0.00407169347454328
1005,"P_read_write","Literacy",-0.00641838752198964
1005,"Total_Population","Population",0.0159172150306404
1005,"Total_houses","Households",0.0143368651624769
1005,"bias_w","Spatial bias",-0.0435077929869294
1006,"P_age_00_14","Population 0-14",0.0114691597409546
1006,"P_age_15_39","Population 15-39",-0.00711859262082726
1006,"P_internet","Internet",-0.00809851579833776
1006,"P_read_write","Literacy",-0.00433516257908195
1006,"Total_Population","Population",0.0103267331141979
1006,"Total_houses","Households",0.00790256488835439
1006,"bias_w","Spatial bias",-0.0242399112321436
1007,"P_age_00_14","Population 0-14",0.010440937243402
1007,"P_age_15_39","Population 15-39",-0.00572991056833416
1007,"P_internet","Internet",-0.00885817978996783
1007,"P_read_write","Literacy",-0.00454397726571187
1007,"Total_Population","Population",0.00733071111608297
1007,"Total_houses","Households",0.00667601305758581
1007,"bias_w","Spatial bias",0.00744653271976858
1008,"P_age_00_14","Population 0-14",0.00930369854904711
1008,"P_age_15_39","Population 15-39",-0.0101371445925906
1008,"P_internet","Internet",-0.00170294928830117
1008,"P_read_write","Literacy",-0.0114537038607523
1008,"Total_Population","Population",-0.00892441091127694
1008,"Total_houses","Households",-0.00418688508216292
1008,"bias_w","Spatial bias",-0.00265711190877482
1009,"P_age_00_14","Population 0-14",0.0106745504308492
1009,"P_age_15_39","Population 15-39",-0.00689535320270807
1009,"P_internet","Internet",-0.00867359922267497
1009,"P_read_write","Literacy",-0.00395085872150958
1009,"Total_Population","Population",0.000318468104524072
1009,"Total_houses","Households",0.00126161248772405
1009,"bias_w","Spatial bias",0.0116129679372534
1010,"P_age_00_14","Population 0-14",0.00939313997514546
1010,"P_age_15_39","Population 15-39",-0.00693994620814919
1010,"P_internet","Internet",0.00164033361943439
1010,"P_read_write","Literacy",-0.00383612874429673
1010,"Total_Population","Population",0.000338282450684346
1010,"Total_houses","Households",0.00151479627675144
1010,"bias_w","Spatial bias",-0.019410477951169
1011,"P_age_00_14","Population 0-14",0.0107863686280325
1011,"P_age_15_39","Population 15-39",-0.0203035050071776
1011,"P_internet","Internet",-0.0057174229004886
1011,"P_read_write","Literacy",-0.00744070846121758
1011,"Total_Population","Population",0.0074440116295591
1011,"Total_houses","Households",0.00525414588628337
1011,"bias_w","Spatial bias",-0.0043960755574517
2001,"P_age_00_14","Population 0-14",-0.00464948557782918
2001,"P_age_15_39","Population 15-39",-0.00466656358912587
2001,"P_internet","Internet",-0.00313659460516647
2001,"P_read_write","Literacy",-0.00753500056453049
2001,"Total_Population","Population",0.0106817173073068
2001,"Total_houses","Households",0.0100986093748361
2001,"bias_w","Spatial bias",-0.0229295906610787
2002,"P_age_00_14","Population 0-14",-0.0039171808748506
2002,"P_age_15_39","Population 15-39",-0.00626506737899035
2002,"P_internet","Internet",-0.00156529858213617
2002,"P_read_write","Literacy",-0.00662911986000836
2002,"Total_Population","Population",0.0100839738734066
2002,"Total_houses","Households",0.00987751362845302
2002,"bias_w","Spatial bias",-0.02621338237077
2003,"P_age_00_14","Population 0-14",-0.00486800778890029
2003,"P_age_15_39","Population 15-39",-0.00464967667357996
2003,"P_internet","Internet",-0.00354401413642336
2003,"P_read_write","Literacy",-0.00631808687467128
2003,"Total_Population","Population",0.0107485465705395
2003,"Total_houses","Households",0.00950409076176584
2003,"bias_w","Spatial bias",-0.0242062443867326
2004,"P_age_00_14","Population 0-14",-0.00535585853504017
2004,"P_age_15_39","Population 15-39",-0.0105459295446053
2004,"P_internet","Internet",-0.00231690319196787
2004,"P_read_write","Literacy",-0.00912346865516156
2004,"Total_Population","Population",0.0107449679635465
2004,"Total_houses","Households",0.00951696047559381
2004,"bias_w","Spatial bias",-0.0226750895380974
2005,"P_age_00_14","Population 0-14",-0.00528769375523552
2005,"P_age_15_39","Population 15-39",-0.00592574017355219
