"Fold_ID","Area_code","Feature","Plot_label","SHAP_Value"
3,1004,"Total_Population","Population",-0.000297701539238915
3,1004,"Total_houses","Households",-0.00273920176550746
3,1004,"P_age_00_14","Population 0-14",0.0147323440760374
3,1004,"P_age_15_39","Population 15-39",-0.00625845277681947
3,1004,"P_indigenous_language","Indigenous language",-0.00425784476101398
3,1004,"P_internet","Internet",-0.0197127237915993
3,1004,"bias_w","Spatial bias",0.0199055280536413
3,1007,"Total_Population","Population",0.00787234026938677
3,1007,"Total_houses","Households",0.00921590998768806
3,1007,"P_age_00_14","Population 0-14",0.014038011431694
3,1007,"P_age_15_39","Population 15-39",-0.00402999017387629
3,1007,"P_indigenous_language","Indigenous language",-0.00198269844986498
3,1007,"P_internet","Internet",-0.0138402739539742
3,1007,"bias_w","Spatial bias",0.0100009199231863
3,1009,"Total_Population","Population",0.000256522558629513
3,1009,"Total_houses","Households",-0.00269471760839224
3,1009,"P_age_00_14","Population 0-14",0.0137549145147204
3,1009,"P_age_15_39","Population 15-39",-0.0068772011436522
3,1009,"P_indigenous_language","Indigenous language",-0.00298119732178748
3,1009,"P_internet","Internet",-0.0151553954929113
3,1009,"bias_w","Spatial bias",0.0146317612379789
3,3001,"Total_Population","Population",0.00798260234296322
3,3001,"Total_houses","Households",0.00908892415463924
3,3001,"P_age_00_14","Population 0-14",-0.00506705557927489
3,3001,"P_age_15_39","Population 15-39",-0.00109839078504592
3,3001,"P_indigenous_language","Indigenous language",-0.0017457086360082
3,3001,"P_internet","Internet",-0.0100349532440305
3,3001,"bias_w","Spatial bias",0.0167355965822935
3,3002,"Total_Population","Population",0.00645857257768512
3,3002,"Total_houses","Households",0.00977566000074148
3,3002,"P_age_00_14","Population 0-14",-0.0032595710363239
3,3002,"P_age_15_39","Population 15-39",-0.00183637416921556
3,3002,"P_indigenous_language","Indigenous language",0.00230335770174861
3,3002,"P_internet","Internet",-0.0117085250094533
3,3002,"bias_w","Spatial bias",0.00863402523100376
3,3003,"Total_Population","Population",0.00809825863689184
3,3003,"Total_houses","Households",0.0106478063389659
3,3003,"P_age_00_14","Population 0-14",-0.0043118535540998
3,3003,"P_age_15_39","Population 15-39",-0.00129580416250974
3,3003,"P_indigenous_language","Indigenous language",-0.00115833326708525
3,3003,"P_internet","Internet",-0.00336824171245098
3,3003,"bias_w","Spatial bias",-0.00572591368108988
3,3008,"Total_Population","Population",0.0110988728702068
3,3008,"Total_houses","Households",0.0102833304554224
3,3008,"P_age_00_14","Population 0-14",-0.00140441383700818
3,3008,"P_age_15_39","Population 15-39",-0.0625994205474854
3,3008,"P_indigenous_language","Indigenous language",-0.00913461670279503
3,3008,"P_internet","Internet",-0.00150093191768974
3,3008,"bias_w","Spatial bias",-0.00508966110646725
3,3009,"Total_Population","Population",-0.00183524726890028
3,3009,"Total_houses","Households",-0.00622593285515904
