"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
5,0.01,1,1,0.65,0.8,0,0,576,0.0724738106734672
5,0.05,1,1,0.65,0.8,0,0,128,0.0723478121081225
5,0.1,1,1,0.65,0.8,0,0,79,0.0726154005643345
5,0.3,1,1,0.65,0.8,0,0,26,0.0734245952133843
5,0.01,3,1,0.65,0.8,0,0,393,0.0742814621558629
5,0.05,3,1,0.65,0.8,0,0,100,0.0740790647703429
5,0.1,3,1,0.65,0.8,0,0,51,0.0734475179885548
5,0.3,3,1,0.65,0.8,0,0,11,0.0776038702838777
5,0.01,5,1,0.65,0.8,0,0,500,0.0718542541110286
5,0.05,5,1,0.65,0.8,0,0,105,0.0733459729320033
5,0.1,5,1,0.65,0.8,0,0,50,0.074240073390956
5,0.3,5,1,0.65,0.8,0,0,12,0.0788520571084113
5,0.01,7,1,0.65,0.8,0,0,527,0.072900544475471
5,0.05,7,1,0.65,0.8,0,0,111,0.0744992965408654
5,0.1,7,1,0.65,0.8,0,0,66,0.0738809298580386
5,0.3,7,1,0.65,0.8,0,0,12,0.0799368588785045
5,0.01,1,3,0.65,0.8,0,0,487,0.0730202885234326
5,0.05,1,3,0.65,0.8,0,0,109,0.0732793884782993
5,0.1,1,3,0.65,0.8,0,0,85,0.0728768491470626
5,0.3,1,3,0.65,0.8,0,0,42,0.0727006736873917
5,0.01,3,3,0.65,0.8,0,0,531,0.0725792662704669
5,0.05,3,3,0.65,0.8,0,0,86,0.0720645547183398
5,0.1,3,3,0.65,0.8,0,0,39,0.0741127015444776
5,0.3,3,3,0.65,0.8,0,0,12,0.0743129556405066
5,0.01,5,3,0.65,0.8,0,0,440,0.072615864832858
5,0.05,5,3,0.65,0.8,0,0,96,0.0720057658845034
5,0.1,5,3,0.65,0.8,0,0,44,0.0743507758175352
5,0.3,5,3,0.65,0.8,0,0,13,0.0766245887304382
5,0.01,7,3,0.65,0.8,0,0,554,0.0716535821332521
5,0.05,7,3,0.65,0.8,0,0,93,0.0727392636938752
5,0.1,7,3,0.65,0.8,0,0,49,0.0722063456865543
5,0.3,7,3,0.65,0.8,0,0,11,0.0802716132282738
5,0.01,1,5,0.65,0.8,0,0,650,0.0722296967354777
5,0.05,1,5,0.65,0.8,0,0,150,0.0727779749925982
5,0.1,1,5,0.65,0.8,0,0,65,0.0729638047483969
5,0.3,1,5,0.65,0.8,0,0,29,0.0730679982817894
5,0.01,3,5,0.65,0.8,0,0,426,0.0725835041239217
5,0.05,3,5,0.65,0.8,0,0,113,0.0711805060931689
5,0.1,3,5,0.65,0.8,0,0,48,0.0739292629815018
5,0.3,3,5,0.65,0.8,0,0,12,0.0743751929008111
5,0.01,5,5,0.65,0.8,0,0,458,0.0721069227759998
5,0.05,5,5,0.65,0.8,0,0,118,0.0721756157336076
5,0.1,5,5,0.65,0.8,0,0,45,0.0738708200463466
5,0.3,5,5,0.65,0.8,0,0,11,0.0758141818761784
5,0.01,7,5,0.65,0.8,0,0,476,0.0724330656077551
5,0.05,7,5,0.65,0.8,0,0,88,0.0736501798260683
5,0.1,7,5,0.65,0.8,0,0,49,0.0741715328154873
5,0.3,7,5,0.65,0.8,0,0,12,0.075454499529778
5,0.01,1,7,0.65,0.8,0,0,721,0.0732943384810207
5,0.05,1,7,0.65,0.8,0,0,244,0.0722850940448461
5,0.1,1,7,0.65,0.8,0,0,53,0.0730174558589105
5,0.3,1,7,0.65,0.8,0,0,15,0.0726065537263654
5,0.01,3,7,0.65,0.8,0,0,423,0.0719833241461778
5,0.05,3,7,0.65,0.8,0,0,100,0.07116077348686
5,0.1,3,7,0.65,0.8,0,0,40,0.0708154627288979
5,0.3,3,7,0.65,0.8,0,0,13,0.0734099721075532
5,0.01,5,7,0.65,0.8,0,0,461,0.0720119768584842
5,0.05,5,7,0.65,0.8,0,0,82,0.070435818760418
5,0.1,5,7,0.65,0.8,0,0,65,0.0720056076377149
5,0.3,5,7,0.65,0.8,0,0,12,0.0749798468384941
5,0.01,7,7,0.65,0.8,0,0,480,0.0704908356359113
5,0.05,7,7,0.65,0.8,0,0,92,0.0721347879421909
5,0.1,7,7,0.65,0.8,0,0,52,0.0710718110458096
5,0.3,7,7,0.65,0.8,0,0,12,0.0766568235424936
