"Area_code","Feature","Plot_label","SHAP_Value_Avg"
1001,"P_age_00_14","Population 0-14",-0.00463931198464707
1001,"P_age_15_39","Population 15-39",-0.0094493308570236
1001,"P_electricity","Electricity",-0.00415688022621907
1001,"P_internet","Internet",-0.00348729523830116
1001,"P_read_write","Literacy",-0.0202923873439431
1001,"Total_Population","Population",0.0150041428860277
1001,"Total_houses","Households",0.0168896189425141
1002,"P_age_00_14","Population 0-14",0.0123033509589732
1002,"P_age_15_39","Population 15-39",-0.00951821741182357
1002,"P_electricity","Electricity",-0.00284952334186528
1002,"P_internet","Internet",-0.00931221037171781
1002,"P_read_write","Literacy",-0.0135802661534399
1002,"Total_Population","Population",0.0112629589857534
1002,"Total_houses","Households",0.0100733590079471
1003,"P_age_00_14","Population 0-14",0.00287308028782718
1003,"P_age_15_39","Population 15-39",-0.00300164259692792
1003,"P_electricity","Electricity",-0.00277184594597202
1003,"P_internet","Internet",-0.0119528502691537
1003,"P_read_write","Literacy",-0.0100559720303863
1003,"Total_Population","Population",0.00952666497323662
1003,"Total_houses","Households",0.00999623688403517
1004,"P_age_00_14","Population 0-14",0.0144712433684617
1004,"P_age_15_39","Population 15-39",-0.0152173088863492
1004,"P_electricity","Electricity",-0.00364546660421183
1004,"P_internet","Internet",-0.0210846962872893
1004,"P_read_write","Literacy",-0.017274389276281
1004,"Total_Population","Population",0.00142840199987404
1004,"Total_houses","Households",-0.00583817159349564
1005,"P_age_00_14","Population 0-14",0.00878588866908103
1005,"P_age_15_39","Population 15-39",-0.00815805606544018
1005,"P_electricity","Electricity",-0.00169901741901413
1005,"P_internet","Internet",-0.00707037490792572
1005,"P_read_write","Literacy",-0.0193802458234131
1005,"Total_Population","Population",0.0130516160279512
1005,"Total_houses","Households",0.0143219314049929
1006,"P_age_00_14","Population 0-14",0.00966513017192483
1006,"P_age_15_39","Population 15-39",-0.0115002444945276
1006,"P_electricity","Electricity",-0.00174293659802061
1006,"P_internet","Internet",-0.0128838631790131
1006,"P_read_write","Literacy",-0.0130911429878324
1006,"Total_Population","Population",0.0120446726214141
1006,"Total_houses","Households",0.0115304578794166
1007,"P_age_00_14","Population 0-14",0.011470501543954
1007,"P_age_15_39","Population 15-39",-0.01199303381145
1007,"P_electricity","Electricity",-0.00318408601015108
1007,"P_internet","Internet",-0.01468216907233
1007,"P_read_write","Literacy",-0.0132956160232425
1007,"Total_Population","Population",0.0136928550200537
1007,"Total_houses","Households",0.0122038122499362
1008,"P_age_00_14","Population 0-14",0.0141025006305426
1008,"P_age_15_39","Population 15-39",-0.021066156681627
1008,"P_electricity","Electricity",4.56799753010273e-05
1008,"P_internet","Internet",-0.000337933655828238
1008,"P_read_write","Literacy",-0.0339437797665596
1008,"Total_Population","Population",-0.0143379394430667
1008,"Total_houses","Households",-0.0121160699054599
1009,"P_age_00_14","Population 0-14",0.0137318943161517
1009,"P_age_15_39","Population 15-39",-0.0157627577427775
1009,"P_electricity","Electricity",-0.00187552884744946
1009,"P_internet","Internet",-0.0127688175998628
1009,"P_read_write","Literacy",-0.0129195461049676
1009,"Total_Population","Population",0.00242216119659133
1009,"Total_houses","Households",0.00413203194329981
1010,"P_age_00_14","Population 0-14",0.0119193729478866
1010,"P_age_15_39","Population 15-39",-0.0139598317909986
1010,"P_electricity","Electricity",0.00144308604649268
1010,"P_internet","Internet",0.00394835165934637
1010,"P_read_write","Literacy",-0.0149339949712157
1010,"Total_Population","Population",0.000810959796581301
1010,"Total_houses","Households",0.000216227126657031
1011,"P_age_00_14","Population 0-14",0.0127332506235689
1011,"P_age_15_39","Population 15-39",-0.0310232285410166
1011,"P_electricity","Electricity",-0.00163807734497823
1011,"P_internet","Internet",-0.00916987820528448
1011,"P_read_write","Literacy",-0.0180414572823793
1011,"Total_Population","Population",0.00986729899886996
1011,"Total_houses","Households",0.00980387057643384
2001,"P_age_00_14","Population 0-14",-0.00794430717360228
2001,"P_age_15_39","Population 15-39",-0.00670288375113159
2001,"P_electricity","Electricity",0.00111192498297896
2001,"P_internet","Internet",-0.00494793691905215
2001,"P_read_write","Literacy",-0.0245662042871118
2001,"Total_Population","Population",0.0119846012676135
2001,"Total_houses","Households",0.0130975786596537
2002,"P_age_00_14","Population 0-14",-0.00725281471386552
2002,"P_age_15_39","Population 15-39",-0.00933262519538403
2002,"P_electricity","Electricity",-0.000456699126516469
2002,"P_internet","Internet",-0.00372891549341148
2002,"P_read_write","Literacy",-0.0217808079905808
2002,"Total_Population","Population",0.0119964806362987
2002,"Total_houses","Households",0.013545063091442
2003,"P_age_00_14","Population 0-14",-0.00801566441077739
2003,"P_age_15_39","Population 15-39",-0.00616095867007971
2003,"P_electricity","Electricity",0.000721686679753475
2003,"P_internet","Internet",-0.00515725163859315
2003,"P_read_write","Literacy",-0.022071021143347
2003,"Total_Population","Population",0.0118290180107579
2003,"Total_houses","Households",0.0123638757504523
2004,"P_age_00_14","Population 0-14",-0.00902893580496311
2004,"P_age_15_39","Population 15-39",-0.0166281287092716
2004,"P_electricity","Electricity",-0.000908890448044986
2004,"P_internet","Internet",-0.00403433982864954
2004,"P_read_write","Literacy",-0.0277192101348191
2004,"Total_Population","Population",0.0133215191308409
2004,"Total_houses","Households",0.0136050537694246
2005,"P_age_00_14","Population 0-14",-0.00995472294744104
2005,"P_age_15_39","Population 15-39",-0.007663638680242
2005,"P_electricity","Electricity",-0.00100819751969539
2005,"P_internet","Internet",-0.00512144394451752
2005,"P_read_write","Literacy",-0.0231518535874784
2005,"Total_Population","Population",0.0127408863045275
2005,"Total_houses","Households",0.0138834749814123
2006,"P_age_00_14","Population 0-14",0.0102971419692039
2006,"P_age_15_39","Population 15-39",-0.034962909296155
2006,"P_electricity","Electricity",0.00288660539808916
2006,"P_internet","Internet",-0.006954406038858
2006,"P_read_write","Literacy",-0.000174075190443546
2006,"Total_Population","Population",0.00833884056191891
2006,"Total_houses","Households",0.0092607787810266
3001,"P_age_00_14","Population 0-14",-0.00638148549478501
3001,"P_age_15_39","Population 15-39",-0.00315930236320128
3001,"P_electricity","Electricity",0.00201406492851675
3001,"P_internet","Internet",-0.0124948725569993
3001,"P_read_write","Literacy",-0.0110397441312671
3001,"Total_Population","Population",0.0118369376286864
3001,"Total_houses","Households",0.0132191879674792
3002,"P_age_00_14","Population 0-14",-0.00326504744589329
3002,"P_age_15_39","Population 15-39",-0.0055616598110646
3002,"P_electricity","Electricity",0.000999268539089826
3002,"P_internet","Internet",-0.0129442154429853
3002,"P_read_write","Literacy",-0.013698514085263
3002,"Total_Population","Population",0.0132703371345997
3002,"Total_houses","Households",0.0121483379043639
3003,"P_age_00_14","Population 0-14",-0.00687219144310802
3003,"P_age_15_39","Population 15-39",-0.00678637251257896
3003,"P_electricity","Electricity",0.00094387904391624
3003,"P_internet","Internet",-0.00520794984186068
3003,"P_read_write","Literacy",-0.0221010530367494
3003,"Total_Population","Population",0.0123577668564394
3003,"Total_houses","Households",0.0146993703674525
3008,"P_age_00_14","Population 0-14",-0.00314526974761975
3008,"P_age_15_39","Population 15-39",-0.0389315518550575
3008,"P_electricity","Electricity",-0.000957957323407754
3008,"P_internet","Internet",-0.00446881272364408
3008,"P_read_write","Literacy",-0.0210710556712002
3008,"Total_Population","Population",0.0148342940956354
