"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
4,0.01,1,1,0.65,0.8,0,0,1209,0.079521709906196
4,0.05,1,1,0.65,0.8,0,0,279,0.0807315043318501
4,0.1,1,1,0.65,0.8,0,0,122,0.0805515647361916
4,0.3,1,1,0.65,0.8,0,0,87,0.0800590396011969
4,0.01,3,1,0.65,0.8,0,0,442,0.0816369152099668
4,0.05,3,1,0.65,0.8,0,0,94,0.0809457164191166
4,0.1,3,1,0.65,0.8,0,0,44,0.0811197552925754
4,0.3,3,1,0.65,0.8,0,0,13,0.0848096712323106
4,0.01,5,1,0.65,0.8,0,0,509,0.0821260154542511
4,0.05,5,1,0.65,0.8,0,0,96,0.0814947342294359
4,0.1,5,1,0.65,0.8,0,0,64,0.0824204509015371
4,0.3,5,1,0.65,0.8,0,0,13,0.0896633010714978
4,0.01,7,1,0.65,0.8,0,0,494,0.0805640862086497
4,0.05,7,1,0.65,0.8,0,0,126,0.0834785150151918
4,0.1,7,1,0.65,0.8,0,0,76,0.083113393610197
4,0.3,7,1,0.65,0.8,0,0,11,0.0903702413199201
4,0.01,1,3,0.65,0.8,0,0,1278,0.0796206852444424
4,0.05,1,3,0.65,0.8,0,0,449,0.0804915124948076
4,0.1,1,3,0.65,0.8,0,0,236,0.0796987847204133
4,0.3,1,3,0.65,0.8,0,0,81,0.0802577247958977
4,0.01,3,3,0.65,0.8,0,0,543,0.0802354901692839
4,0.05,3,3,0.65,0.8,0,0,104,0.0812904913115336
4,0.1,3,3,0.65,0.8,0,0,71,0.080611834280166
4,0.3,3,3,0.65,0.8,0,0,13,0.0817355430479914
4,0.01,5,3,0.65,0.8,0,0,460,0.0798149086346898
4,0.05,5,3,0.65,0.8,0,0,93,0.0812779706772985
4,0.1,5,3,0.65,0.8,0,0,48,0.0819135261438293
4,0.3,5,3,0.65,0.8,0,0,12,0.088111016173955
4,0.01,7,3,0.65,0.8,0,0,519,0.0802914978013948
4,0.05,7,3,0.65,0.8,0,0,91,0.0819791158294231
4,0.1,7,3,0.65,0.8,0,0,42,0.0825690088150341
4,0.3,7,3,0.65,0.8,0,0,16,0.0844263682725018
4,0.01,1,5,0.65,0.8,0,0,1039,0.0821149847919111
4,0.05,1,5,0.65,0.8,0,0,353,0.0793134779005839
4,0.1,1,5,0.65,0.8,0,0,246,0.0800693350291952
4,0.3,1,5,0.65,0.8,0,0,54,0.0804386795191252
4,0.01,3,5,0.65,0.8,0,0,595,0.0797154137888673
4,0.05,3,5,0.65,0.8,0,0,147,0.0812113522963783
4,0.1,3,5,0.65,0.8,0,0,48,0.0812636869099718
4,0.3,3,5,0.65,0.8,0,0,14,0.0839570821182296
4,0.01,5,5,0.65,0.8,0,0,473,0.0800089491206367
4,0.05,5,5,0.65,0.8,0,0,117,0.0802753136983202
4,0.1,5,5,0.65,0.8,0,0,42,0.0808812493675683
4,0.3,5,5,0.65,0.8,0,0,10,0.0854175031393027
4,0.01,7,5,0.65,0.8,0,0,455,0.0799586922327378
4,0.05,7,5,0.65,0.8,0,0,90,0.0808403066485512
4,0.1,7,5,0.65,0.8,0,0,42,0.0825520186280436
4,0.3,7,5,0.65,0.8,0,0,12,0.0845169473616425
4,0.01,1,7,0.65,0.8,0,0,920,0.0812740142143709
4,0.05,1,7,0.65,0.8,0,0,269,0.0806232856845732
4,0.1,1,7,0.65,0.8,0,0,233,0.0797024593154573
4,0.3,1,7,0.65,0.8,0,0,98,0.0796859622690348
4,0.01,3,7,0.65,0.8,0,0,491,0.0789472366554891
4,0.05,3,7,0.65,0.8,0,0,99,0.0815885765192653
4,0.1,3,7,0.65,0.8,0,0,65,0.0805650231552857
4,0.3,3,7,0.65,0.8,0,0,16,0.0817269875200484
4,0.01,5,7,0.65,0.8,0,0,501,0.0784576435975482
4,0.05,5,7,0.65,0.8,0,0,91,0.0791346641190303
4,0.1,5,7,0.65,0.8,0,0,53,0.0794016994224202
4,0.3,5,7,0.65,0.8,0,0,17,0.0853917793965302
4,0.01,7,7,0.65,0.8,0,0,463,0.0799699186522738
4,0.05,7,7,0.65,0.8,0,0,118,0.0802545382035973
4,0.1,7,7,0.65,0.8,0,0,41,0.0801323183966765
4,0.3,7,7,0.65,0.8,0,0,12,0.0830497401802311
4,0.01,1,1,0.8,0.8,0,0,1462,0.0812411366188851
4,0.05,1,1,0.8,0.8,0,0,264,0.0800238112167404
4,0.1,1,1,0.8,0.8,0,0,230,0.0808576250746096
4,0.3,1,1,0.8,0.8,0,0,88,0.0804208351730039
4,0.01,3,1,0.8,0.8,0,0,509,0.080869330399633
4,0.05,3,1,0.8,0.8,0,0,108,0.0823246492090019
4,0.1,3,1,0.8,0.8,0,0,63,0.0820776785440377
4,0.3,3,1,0.8,0.8,0,0,13,0.0861156020860432
4,0.01,5,1,0.8,0.8,0,0,536,0.0824585193143031
4,0.05,5,1,0.8,0.8,0,0,113,0.0817002958104144
4,0.1,5,1,0.8,0.8,0,0,48,0.0817281310186028
4,0.3,5,1,0.8,0.8,0,0,12,0.0894147286164562
4,0.01,7,1,0.8,0.8,0,0,590,0.0816641362646263
4,0.05,7,1,0.8,0.8,0,0,113,0.0807204936753698
4,0.1,7,1,0.8,0.8,0,0,50,0.0826042640602793
4,0.3,7,1,0.8,0.8,0,0,36,0.0863577692587446
4,0.01,1,3,0.8,0.8,0,0,1191,0.0804761469732471
4,0.05,1,3,0.8,0.8,0,0,378,0.0800279366986116
4,0.1,1,3,0.8,0.8,0,0,279,0.0806489273606854
4,0.3,1,3,0.8,0.8,0,0,93,0.0797125607374264
4,0.01,3,3,0.8,0.8,0,0,530,0.079587146102712
4,0.05,3,3,0.8,0.8,0,0,99,0.0795842464140042
