"Feature_Label","Impact_SHAP_Value"
"Spatial bias",0.0180992102729597
"Internet",0.00742077635930076
"Population 15-39",0.00720176621623973
"Population 0-14",0.00699163015218484
"Population",0.00675215782063831
"Households",0.00602859112414755
"Literacy",0.0054221299763885
"Educational lag",0.00507817752689294
"Indigenous language",0.00331414639479227
"Mean occupants",0.00299679882172677
"Electricity",0.0024885050038989
"Cell phone",0.00238110982523209
"University degree",0.00231540354048647
"Female",0.00231346685965898
"Migrants",0.00214408946225144
"Poverty",0.00214372739246154
"Income",0.00212401016460434
"Extreme poverty",0.00212125625756903
"Vulnerable income",0.00202807500566539
"Afrodescendants",0.00192883729842846
