"Fold_ID","Feature_Label","Impact_SHAP_Value"
3,"Spatial bias",0.0197781758897182
3,"Internet",0.00914182822379407
3,"Population",0.00746522210964426
3,"Population 0-14",0.00691795908348937
3,"Population 15-39",0.00668699282794181
3,"Households",0.00600250655598722
3,"Literacy",0.00555270172366611
3,"Educational lag",0.00400616402867484
3,"Indigenous language",0.00376440255090437
3,"Mean occupants",0.00298452060999724
3,"Female",0.00269109338703424
3,"Electricity",0.0026090797413472
3,"Cell phone",0.00230102720968847
3,"Migrants",0.00221160545486994
3,"Population 65+",0.00218178957057336
3,"Extreme poverty",0.0021615454870749
3,"Income",0.00202826626294407
3,"Poor housing conditions",0.00202070524286992
3,"Car",0.00190383117033638
3,"Afrodescendants",0.00169512876633892
