"Fold_ID","Area_code","Feature","Plot_label","SHAP_Value"
1,1001,"Total_houses","Households",0.0181083418428898
1,1001,"P_age_00_14","Population 0-14",-0.00360903539694846
1,1001,"P_age_15_39","Population 15-39",-0.00636431900784373
1,1001,"P_read_write","Literacy",-0.0146533166989684
1,1001,"P_internet","Internet",-0.00504547171294689
1,1001,"P_educational_lag","Educational lag",-0.0226210821419954
1,1001,"bias_w","Spatial bias",-0.0035485802218318
1,1002,"Total_houses","Households",0.0106144482269883
1,1002,"P_age_00_14","Population 0-14",0.0153978038579226
1,1002,"P_age_15_39","Population 15-39",-0.00610873894765973
1,1002,"P_read_write","Literacy",-0.00363234081305563
1,1002,"P_internet","Internet",-0.00916467979550362
1,1002,"P_educational_lag","Educational lag",0.00445121852681041
1,1002,"bias_w","Spatial bias",-0.00747916055843234
1,1003,"Total_houses","Households",0.0099148890003562
1,1003,"P_age_00_14","Population 0-14",0.00863988045603037
1,1003,"P_age_15_39","Population 15-39",-0.00612769834697247
1,1003,"P_read_write","Literacy",-0.00396919809281826
1,1003,"P_internet","Internet",-0.0132997082546353
1,1003,"P_educational_lag","Educational lag",0.00584799144417048
1,1003,"bias_w","Spatial bias",-0.0188890770077705
1,1004,"Total_houses","Households",-0.00545140216127038
1,1004,"P_age_00_14","Population 0-14",0.0193394888192415
1,1004,"P_age_15_39","Population 15-39",-0.00893988832831383
1,1004,"P_read_write","Literacy",-0.00378417619504035
1,1004,"P_internet","Internet",-0.0160785727202892
1,1004,"P_educational_lag","Educational lag",-0.00345835485495627
1,1004,"bias_w","Spatial bias",0.0143116535618901
1,1005,"Total_houses","Households",0.0129216723144054
1,1005,"P_age_00_14","Population 0-14",0.00990006700158119
1,1005,"P_age_15_39","Population 15-39",-0.00536510208621621
1,1005,"P_read_write","Literacy",-0.0149218216538429
1,1005,"P_internet","Internet",-0.0073731835000217
1,1005,"P_educational_lag","Educational lag",-0.000735247624106705
1,1005,"bias_w","Spatial bias",-0.0161210875958204
1,1006,"Total_houses","Households",0.0121999196708202
1,1006,"P_age_00_14","Population 0-14",0.0148538369685411
1,1006,"P_age_15_39","Population 15-39",-0.00719696376472712
1,1006,"P_read_write","Literacy",-0.00454510608687997
1,1006,"P_internet","Internet",-0.0131912156939507
1,1006,"P_educational_lag","Educational lag",-0.00124030944425613
1,1006,"bias_w","Spatial bias",-0.0197795480489731
1,1007,"Total_houses","Households",0.011486915871501
1,1007,"P_age_00_14","Population 0-14",0.0170962885022163
1,1007,"P_age_15_39","Population 15-39",-0.00758814625442028
1,1007,"P_read_write","Literacy",-0.00378863420337439
1,1007,"P_internet","Internet",-0.0134662985801697
1,1007,"P_educational_lag","Educational lag",-0.000210646699997596
1,1007,"bias_w","Spatial bias",-0.00788714271038771
1,1008,"Total_houses","Households",-0.0121215395629406
1,1008,"P_age_00_14","Population 0-14",0.0151433274149895
1,1008,"P_age_15_39","Population 15-39",-0.0131796728819609
1,1008,"P_read_write","Literacy",-0.0280825085937977
1,1008,"P_internet","Internet",0.000586210866458714
1,1008,"P_educational_lag","Educational lag",-0.0104879625141621
1,1008,"bias_w","Spatial bias",-0.0120275756344199
1,1009,"Total_houses","Households",0.00627061631530523
1,1009,"P_age_00_14","Population 0-14",0.0187418963760138
1,1009,"P_age_15_39","Population 15-39",-0.00860466435551643
1,1009,"P_read_write","Literacy",-0.00513386260718107
1,1009,"P_internet","Internet",-0.00990336481481791
1,1009,"P_educational_lag","Educational lag",0.000377424294129014
1,1009,"bias_w","Spatial bias",0.0148573499172926
1,1010,"Total_houses","Households",0.0019753067754209
1,1010,"P_age_00_14","Population 0-14",0.0144596705213189
