"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
3,0.01,1,1,0.65,0.8,0,0,582,0.0816126570963344
3,0.05,1,1,0.65,0.8,0,0,136,0.0818005233392674
3,0.1,1,1,0.65,0.8,0,0,66,0.0828268720478351
3,0.3,1,1,0.65,0.8,0,0,35,0.0823039131168792
3,0.01,3,1,0.65,0.8,0,0,438,0.0843188060754048
3,0.05,3,1,0.65,0.8,0,0,81,0.0840266629501464
3,0.1,3,1,0.65,0.8,0,0,45,0.0841305102297337
3,0.3,3,1,0.65,0.8,0,0,12,0.0864111937181708
3,0.01,5,1,0.65,0.8,0,0,473,0.0829808923603131
3,0.05,5,1,0.65,0.8,0,0,90,0.0844251553225437
3,0.1,5,1,0.65,0.8,0,0,42,0.0864353002553693
3,0.3,5,1,0.65,0.8,0,0,13,0.0898687080176715
3,0.01,7,1,0.65,0.8,0,0,568,0.0850499868898835
3,0.05,7,1,0.65,0.8,0,0,90,0.0853000134515462
3,0.1,7,1,0.65,0.8,0,0,45,0.0845333921392502
3,0.3,7,1,0.65,0.8,0,0,11,0.0920333507264701
3,0.01,1,3,0.65,0.8,0,0,1055,0.0818753715617779
3,0.05,1,3,0.65,0.8,0,0,219,0.0820534527171479
3,0.1,1,3,0.65,0.8,0,0,104,0.0805377921906288
3,0.3,1,3,0.65,0.8,0,0,36,0.0823245502844822
3,0.01,3,3,0.65,0.8,0,0,456,0.0817796144598095
3,0.05,3,3,0.65,0.8,0,0,88,0.0820539892984294
3,0.1,3,3,0.65,0.8,0,0,43,0.0824421482729225
3,0.3,3,3,0.65,0.8,0,0,14,0.0874037240902674
3,0.01,5,3,0.65,0.8,0,0,471,0.0823765060378787
3,0.05,5,3,0.65,0.8,0,0,91,0.0828219138511268
3,0.1,5,3,0.65,0.8,0,0,54,0.0837806008101019
3,0.3,5,3,0.65,0.8,0,0,12,0.0863466037606524
3,0.01,7,3,0.65,0.8,0,0,469,0.0799459635035987
3,0.05,7,3,0.65,0.8,0,0,94,0.0836661427343954
3,0.1,7,3,0.65,0.8,0,0,73,0.0841066348713135
3,0.3,7,3,0.65,0.8,0,0,11,0.08905894808574
3,0.01,1,5,0.65,0.8,0,0,639,0.0828199960532912
3,0.05,1,5,0.65,0.8,0,0,131,0.0820800657733305
3,0.1,1,5,0.65,0.8,0,0,119,0.0815571853320424
3,0.3,1,5,0.65,0.8,0,0,17,0.0830017392921396
3,0.01,3,5,0.65,0.8,0,0,488,0.0802414000351803
3,0.05,3,5,0.65,0.8,0,0,100,0.0796328074262548
3,0.1,3,5,0.65,0.8,0,0,41,0.082186144519272
3,0.3,3,5,0.65,0.8,0,0,12,0.0835527931603094
3,0.01,5,5,0.65,0.8,0,0,481,0.0814763295618017
3,0.05,5,5,0.65,0.8,0,0,110,0.0835061357477429
3,0.1,5,5,0.65,0.8,0,0,44,0.084336269950383
