"Fold_ID","Feature_Label","Impact_SHAP_Value"
2,"Internet",0.000965722644120443
2,"Spatial bias",0.000449782046353561
2,"Income",0.000305247115661408
2,"University degree",0.000230779363637095
2,"Cell phone",0.000212533363379132
2,"Population 0-14",0.000111048554657021
2,"Migrants",8.51404899716384e-05
2,"Disability",7.64708733959828e-05
2,"Female",7.54773125363165e-05
2,"Literacy",7.53313949682414e-05
2,"Car",7.14824187072126e-05
2,"Electricity",6.31738054512223e-05
2,"Population",5.77839560433779e-05
2,"Afrodescendants",5.37326157291795e-05
2,"Households",5.02672568554523e-05
2,"Population 15-39",4.98300816559805e-05
2,"Working",4.62023195416659e-05
2,"Extreme poverty",3.96332945429569e-05
2,"Mean occupants",3.73164390643587e-05
2,"Vulnerable income",3.31795051846439e-05
