"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
5,0.1,1,1,0.8,1,1,0,124,0.00161873677747244
5,0.1,7,5,1,1,0.5,0.5,142,0.00182809871133649
5,0.1,3,1,0.8,1,1,1,409,0.00209272750007287
5,0.05,5,3,1,1,1,1,272,0.00202837341764224
5,0.1,3,3,0.8,1,0.5,1,398,0.0021282193221334
5,0.05,5,1,0.65,0.9,0,0,177,0.00155445097574487
5,0.05,1,5,0.65,1,1,0.5,445,0.00186863195149169
5,0.05,7,1,0.65,0.8,1,0,205,0.00158304138842903
5,0.1,3,3,0.8,0.9,0,1,503,0.00216418041713402
5,0.01,5,5,1,0.8,0,1,1223,0.00205862308497083
5,0.3,1,1,1,0.9,0.5,0.5,44,0.00177661789217644
5,0.05,7,1,1,0.8,0,0.5,277,0.00172203006850931
5,0.05,3,3,0.8,1,0.5,1,652,0.00214465353362948
5,0.01,5,3,0.8,1,0.5,1,2250,0.00214757176118904
5,0.05,3,5,0.65,0.9,0,1,545,0.00226539364207607
5,0.1,1,3,0.8,0.9,0,0,126,0.00156942252984381
5,0.3,5,5,1,1,0,0,28,0.00165728123034064
5,0.01,5,3,0.65,0.9,0,1,2567,0.00230876828929114
5,0.1,7,7,0.8,0.8,0,1,377,0.00213372141404315
5,0.1,7,7,1,1,0,0.5,141,0.00183247908298412
5,0.01,5,7,0.65,0.8,1,0.5,2689,0.0018679777062534
5,0.3,1,1,1,0.9,1,1,44,0.00200714807542499
5,0.01,7,1,1,0.8,1,0.5,1250,0.0017521216405268
5,0.01,5,1,1,1,0.5,1,1223,0.00201462721003118
5,0.01,3,3,0.65,0.8,0,0,934,0.00154224258404675
5,0.1,3,1,0.65,0.8,0.5,1,395,0.00225970551387778
5,0.3,3,7,1,0.8,0,1,44,0.00212572945999337
5,0.05,5,5,0.8,1,1,0,200,0.0015129082556064
5,0.1,1,3,1,1,0.5,0,206,0.00162248288210263
5,0.05,1,7,0.65,0.9,1,1,569,0.0022912919947598
5,0.01,3,5,0.65,0.8,1,0.5,2136,0.00186738544436508
5,0.05,3,7,0.65,0.8,0.5,1,761,0.00226831206816053
5,0.1,7,5,0.65,0.8,0.5,1,382,0.00228576045246259
5,0.3,5,3,0.65,0.9,0,1,101,0.00235692650409733
5,0.05,3,5,1,0.8,1,0,215,0.00153734088864866
5,0.01,3,7,1,0.9,1,1,1225,0.00204634303786947
5,0.1,1,5,1,1,0.5,1,138,0.00198136193014273
5,0.1,5,5,1,1,0.5,1,139,0.00206173239429947
5,0.01,1,5,0.8,1,0,0,1023,0.00156970136510831
5,0.3,5,3,1,0.9,0.5,1,45,0.00210077566351655
5,0.1,5,3,1,1,1,0,101,0.00155082693038256
5,0.3,5,5,0.65,0.8,0.5,0.5,205,0.00196718823324606
5,0.05,5,7,0.65,1,0,1,717,0.00227963384876109
5,0.01,3,1,0.8,0.9,0,0,936,0.00157390664895878
5,0.1,3,3,0.65,1,1,0.5,433,0.00193395211843106
5,0.01,7,3,1,0.9,1,0.5,1250,0.00182503033828711
5,0.01,7,3,0.8,0.9,1,0.5,2550,0.00182343081155485
5,0.05,7,7,0.65,0.8,0,0,182,0.00152590509694615
5,0.1,1,1,1,0.8,1,0.5,140,0.00170898981934902
5,0.1,1,1,0.65,0.9,1,1,368,0.00221211776963757
5,0.3,7,1,0.65,0.8,0,1,124,0.00231568683862599
5,0.01,7,1,1,1,0,1,1224,0.002033361270483
5,0.1,7,3,1,0.9,0,0,135,0.00163174354779762
5,0.01,5,3,0.8,0.8,0,1,2173,0.00215658539083453
5,0.1,3,7,0.65,1,0.5,0.5,506,0.00188652972536412
5,0.3,1,3,1,0.8,0,1,42,0.00210792436764478
5,0.05,3,3,1,0.8,0,0.5,276,0.00177688046500244
5,0.01,3,5,0.8,1,1,0.5,2400,0.00183977939064538
5,0.05,7,3,1,0.9,0.5,1,273,0.00200570593442361
5,0.01,3,3,1,0.9,0.5,0,1042,0.00156499260261684
