"Feature_Label","Impact_SHAP_Value"
"Internet",0.000989646750164875
"Income",0.000306229615609053
"Cell phone",0.000223506251564855
"University degree",0.000127822251368799
"Migrants",0.000103172010192127
"Population 0-14",0.00010055232765597
"Literacy",9.59338130064293e-05
"Households",9.2591513776403e-05
"Car",9.07087627201769e-05
"Extreme poverty",8.05759216234439e-05
"Disability",8.04392612010681e-05
"Population",7.62214348912414e-05
"Electricity",7.02041691633487e-05
"Poor housing conditions",6.83300785138242e-05
"Population 15-39",6.80710121243461e-05
"Female",6.49572236815007e-05
"Poverty",6.29559485937853e-05
"Educational lag",6.09969814789026e-05
"Afrodescendants",5.01171824618738e-05
"Working",4.86346439450632e-05
