"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
1,0.1,1,1,0.8,1,1,0,180,0.00145522872128604
1,0.1,7,5,1,1,0.5,0.5,143,0.00163702724422842
1,0.1,3,1,0.8,1,1,1,387,0.00187258647542881
1,0.05,5,3,1,1,1,1,274,0.00178812782324028
1,0.1,3,3,0.8,1,0.5,1,332,0.0018738103848969
1,0.05,5,1,0.65,0.9,0,0,193,0.00137995816649228
1,0.05,1,5,0.65,1,1,0.5,611,0.00166080983174104
1,0.05,7,1,0.65,0.8,1,0,319,0.00142057890110358
1,0.1,3,3,0.8,0.9,0,1,628,0.00186166487675486
1,0.01,5,5,1,0.8,0,1,1238,0.00176179976517912
1,0.3,1,1,1,0.9,0.5,0.5,45,0.00175718563092613
1,0.05,7,1,1,0.8,0,0.5,280,0.00165603433408543
1,0.05,3,3,0.8,1,0.5,1,865,0.00183629721216061
1,0.01,5,3,0.8,1,0.5,1,2998,0.00188287759776049
1,0.05,3,5,0.65,0.9,0,1,768,0.00193601369263142
1,0.1,1,3,0.8,0.9,0,0,180,0.00146887006931547
1,0.3,5,5,1,1,0,0,36,0.00141442161425518
1,0.01,5,3,0.65,0.9,0,1,3015,0.00195224950946627
1,0.1,7,7,0.8,0.8,0,1,496,0.00185868822600596
1,0.1,7,7,1,1,0,0.5,144,0.00163355877859721
1,0.01,5,7,0.65,0.8,1,0.5,2558,0.00167219690028009
1,0.3,1,1,1,0.9,1,1,44,0.00186463058247079
1,0.01,7,1,1,0.8,1,0.5,1269,0.00165563162864971
1,0.01,5,1,1,1,0.5,1,1238,0.00178010184814398
1,0.01,3,3,0.65,0.8,0,0,991,0.00139483380154851
1,0.1,3,1,0.65,0.8,0.5,1,388,0.00199057556379227
1,0.3,3,7,1,0.8,0,1,45,0.00189335484354997
1,0.05,5,5,0.8,1,1,0,250,0.00138602632482675
1,0.1,1,3,1,1,0.5,0,258,0.00143682070503738
1,0.05,1,7,0.65,0.9,1,1,569,0.00194725480530777
1,0.01,3,5,0.65,0.8,1,0.5,2588,0.00169619058083046
1,0.05,3,7,0.65,0.8,0.5,1,465,0.00194727332182764
1,0.1,7,5,0.65,0.8,0.5,1,527,0.00194101020828217
1,0.3,5,3,0.65,0.9,0,1,118,0.00199946986396514
1,0.05,3,5,1,0.8,1,0,317,0.00140676209844713
1,0.01,3,7,1,0.9,1,1,1238,0.00176343274786223
1,0.1,1,5,1,1,0.5,1,140,0.00177820103266077
1,0.1,5,5,1,1,0.5,1,140,0.00178975460601573
1,0.01,1,5,0.8,1,0,0,1278,0.00146074461278268
1,0.3,5,3,1,0.9,0.5,1,45,0.00183599743322066
1,0.1,5,3,1,1,1,0,130,0.00136708264262884
1,0.3,5,5,0.65,0.8,0.5,0.5,118,0.00185561416318248
1,0.05,5,7,0.65,1,0,1,653,0.00195950495613
1,0.01,3,1,0.8,0.9,0,0,1160,0.00135927555246127
1,0.1,3,3,0.65,1,1,0.5,268,0.00171750384605893
1,0.01,7,3,1,0.9,1,0.5,1272,0.00163445700384548
1,0.01,7,3,0.8,0.9,1,0.5,2727,0.00164618963172456
1,0.05,7,7,0.65,0.8,0,0,172,0.00135725081543363
1,0.1,1,1,1,0.8,1,0.5,143,0.00166342483288053
1,0.1,1,1,0.65,0.9,1,1,424,0.00194994095784221
1,0.3,7,1,0.65,0.8,0,1,146,0.00206223428963983
1,0.01,7,1,1,1,0,1,1238,0.00181897269835161
1,0.1,7,3,1,0.9,0,0,135,0.00140689495018758
1,0.01,5,3,0.8,0.8,0,1,2603,0.00183363765386009
1,0.1,3,7,0.65,1,0.5,0.5,322,0.00174932327614158
1,0.3,1,3,1,0.8,0,1,44,0.00181986408147697
1,0.05,3,3,1,0.8,0,0.5,280,0.00157597308062174
1,0.01,3,5,0.8,1,1,0.5,2831,0.00164032843729843
1,0.05,7,3,1,0.9,0.5,1,275,0.00176798646386953
1,0.01,3,3,1,0.9,0.5,0,1329,0.00141616132843064
1,0.01,7,1,1,1,1,1,1239,0.00180455994391206
1,0.3,1,5,0.65,0.9,0,0.5,101,0.00174344201928369
1,0.3,5,5,0.8,0.9,0.5,1,166,0.00199495780569666
1,0.1,5,7,1,0.8,1,0.5,144,0.00160681145922608
1,0.01,3,1,1,0.9,0.5,1,1237,0.00174353071953195
1,0.05,3,3,0.8,1,0,0.5,848,0.00167441407233409
1,0.01,3,5,1,0.9,0.5,0,1293,0.00139822613237017
1,0.01,1,3,0.65,1,0,0.5,2634,0.00166928436393771
1,0.1,5,1,0.65,0.8,0.5,0,197,0.00141285223848168
1,0.01,1,1,1,0.9,0,1,1235,0.00177225132459004
1,0.05,3,5,0.8,0.9,0.5,0.5,744,0.00164799284500729
1,0.01,5,1,0.8,0.8,0,0.5,2642,0.00166976015462947
1,0.1,7,1,0.65,0.9,0.5,0.5,490,0.00177240746733108
1,0.01,1,3,0.65,0.8,0.5,0.5,2436,0.00166384879482755
1,0.1,1,3,0.65,0.9,0,0,185,0.00146086632680148
1,0.05,3,3,1,1,1,1,275,0.00175552438568123
1,0.3,7,5,0.65,0.9,1,0.5,128,0.00180523872378449
1,0.1,5,5,0.65,1,0,0,99,0.00140069941650577
1,0.3,1,3,1,0.9,0.5,0,91,0.00147792108986814
1,0.3,3,5,0.8,0.9,0,0,27,0.00143083529404184
1,0.05,7,7,1,0.9,0.5,0,219,0.00138779478098223
1,0.05,1,1,0.8,1,0.5,0,233,0.00145961813356725
1,0.1,1,1,1,0.9,1,0,267,0.00145349989015476
1,0.3,5,5,1,1,1,1,45,0.00183733013423287
1,0.05,7,3,1,0.8,0,0.5,281,0.00160088498411531
1,0.05,5,5,0.65,0.8,1,0.5,413,0.00167306818690055
1,0.1,5,3,0.8,0.9,1,0.5,329,0.00168814568164837
1,0.1,5,1,1,1,0,1,140,0.00183462250644064
1,0.3,5,7,0.65,1,0.5,0,61,0.00148260023265241
1,0.01,3,1,1,1,1,1,1237,0.00179763026915749
1,0.05,5,3,1,0.9,1,0,224,0.0013512331156919
1,0.05,3,5,1,0.9,1,0.5,280,0.00161217398597536
1,0.01,5,5,0.65,0.9,1,0.5,2870,0.00167821611887927
1,0.05,3,3,1,0.8,0,0.5,280,0.00158854945214345
1,0.3,5,7,0.65,0.9,1,0,30,0.00147490084421801
1,0.01,3,1,1,0.9,1,0,1231,0.00141747780195524
1,0.01,3,1,1,0.8,0.5,0,1606,0.00140114141014714
1,0.05,5,5,1,0.9,0,0,189,0.00140610570393819
1,0.1,7,3,0.65,0.8,0,0.5,317,0.0017159330530862
1,0.1,3,1,0.65,0.9,0.5,0,167,0.00142939521713807
1,0.01,1,3,1,1,1,0.5,1264,0.00158280546406592
1,0.3,5,3,0.65,1,0.5,0.5,120,0.00184616736204951
1,0.05,1,5,0.8,0.9,0.5,1,483,0.00183315044714212
1,0.01,5,3,1,1,1,1,1238,0.00181100550491718
1,0.3,3,3,0.65,0.8,0.5,1,149,0.00203144863205912
1,0.05,7,3,0.65,0.9,0.5,0,233,0.00135886305268837
1,0.01,1,5,0.65,1,1,0,1189,0.00146764479933946
1,0.1,1,7,1,0.9,0.5,0,177,0.00146751041394884
1,0.1,5,3,1,0.8,0,1,140,0.0018254970418836
1,0.3,1,7,1,0.8,0,0,58,0.00152687592676839
1,0.3,3,7,0.8,0.9,0.5,0.5,169,0.00174912531335963
1,0.05,5,7,0.65,0.9,0.5,0.5,725,0.00168145604550727
1,0.3,7,3,0.8,0.9,0,0.5,107,0.00179596066635163
1,0.1,7,1,0.8,1,0.5,0,124,0.00143692106213029
1,0.01,7,3,1,0.9,1,1,1238,0.00174070647110964
1,0.05,5,5,1,0.8,0,1,274,0.00176566618402274
1,0.05,7,5,0.8,0.9,1,1,888,0.0018486433293519
1,0.3,3,5,1,0.8,0,0,62,0.00144338005667342
1,0.1,3,7,0.65,0.8,0.5,1,493,0.00197767888692373
1,0.05,3,1,1,1,1,0,294,0.0014285284404817
1,0.01,5,5,0.65,0.8,1,0.5,2362,0.00167361671524637
1,0.3,7,5,0.8,0.8,1,0.5,152,0.00179593853041594
1,0.1,5,5,0.65,0.8,0,0,93,0.00139617365298351
1,0.1,5,5,0.8,0.9,1,0.5,323,0.00166534698218363
1,0.1,3,3,1,1,0,0,98,0.00140491506080905
1,0.05,7,5,0.65,0.8,1,1,898,0.00194133102980433
1,0.05,1,7,0.65,0.9,0.5,0.5,405,0.00167256594766066
1,0.1,5,1,0.65,0.9,1,0,158,0.00142736421591997
1,0.01,5,5,0.65,0.9,1,0.5,3198,0.00167382170506374
1,0.01,5,3,1,0.9,0.5,0,1172,0.00136238496521007
1,0.3,5,7,0.65,0.8,0,0.5,124,0.00185379390760989
1,0.1,5,1,0.8,0.8,0.5,0,103,0.00145028565091008
1,0.05,5,5,0.65,0.8,1,0,193,0.00136522993010789
1,0.05,7,1,1,1,0.5,0.5,281,0.00167255166255092
1,0.05,7,7,1,1,1,0,202,0.00139024030132298
1,0.3,1,5,1,1,0.5,1,44,0.00186007288202868
1,0.05,1,3,1,0.8,0.5,0,525,0.00143772224390766
1,0.05,7,1,0.65,0.9,0.5,0.5,677,0.00175768179884851
1,0.05,1,7,0.8,0.8,0.5,1,526,0.001836856801022
1,0.1,1,3,0.65,0.8,1,1,344,0.00190977679026046
1,0.3,1,7,0.8,0.9,0,0.5,117,0.00180972676935867
1,0.3,3,5,0.8,0.8,0,1,112,0.00193684689293359
