"Feature_Label","Impact_SHAP_Value"
"Internet",0.000905173768116753
"Spatial bias",0.000310777009750645
"Income",0.000285666596799665
"Cell phone",0.000186929560137468
"University degree",0.000180422328835321
"Households",0.000103158463359121
"Migrants",8.95307659667814e-05
"Population 0-14",8.5929164446251e-05
"Extreme poverty",7.84014680837406e-05
"Car",7.78645678377307e-05
"Female",7.31517785383877e-05
"Disability",6.61142974374733e-05
"Poor housing conditions",6.17550161893909e-05
"Population",5.73832707042936e-05
"Poverty",5.49358870620484e-05
"Electricity",5.41611050516137e-05
"Mean occupants",5.40349055777606e-05
"Population 15-39",4.95573837720914e-05
"Literacy",4.87431999111221e-05
"Educational lag",4.68683377780426e-05
