"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
3,0.1,1,1,0.8,1,1,0,195,0.00140666652932579
3,0.1,7,5,1,1,0.5,0.5,144,0.00166655996072611
3,0.1,3,1,0.8,1,1,1,496,0.00191891600987202
3,0.05,5,3,1,1,1,1,275,0.0018388102722621
3,0.1,3,3,0.8,1,0.5,1,315,0.00190769403321655
3,0.05,5,1,0.65,0.9,0,0,209,0.00136636781130687
3,0.05,1,5,0.65,1,1,0.5,623,0.00167028260110793
3,0.05,7,1,0.65,0.8,1,0,216,0.00136972499950062
3,0.1,3,3,0.8,0.9,0,1,285,0.00192423855065127
3,0.01,5,5,1,0.8,0,1,1240,0.00181167506957892
3,0.3,1,1,1,0.9,0.5,0.5,44,0.00171666471701862
3,0.05,7,1,1,0.8,0,0.5,282,0.00167453105212362
3,0.05,3,3,0.8,1,0.5,1,689,0.0018995210972167
3,0.01,5,3,0.8,1,0.5,1,2341,0.00191845781963125
3,0.05,3,5,0.65,0.9,0,1,759,0.00199549373873331
3,0.1,1,3,0.8,0.9,0,0,143,0.00145254264058981
3,0.3,5,5,1,1,0,0,27,0.00140023754615187
3,0.01,5,3,0.65,0.9,0,1,3209,0.00198298290897405
3,0.1,7,7,0.8,0.8,0,1,357,0.00190023670465903
3,0.1,7,7,1,1,0,0.5,144,0.00163868224744927
3,0.01,5,7,0.65,0.8,1,0.5,2966,0.00167403183688651
3,0.3,1,1,1,0.9,1,1,44,0.00191379886635978
3,0.01,7,1,1,0.8,1,0.5,1274,0.00163766880542529
3,0.01,5,1,1,1,0.5,1,1240,0.00184926479831581
3,0.01,3,3,0.65,0.8,0,0,907,0.00134163402947113
3,0.1,3,1,0.65,0.8,0.5,1,469,0.00200857597700561
3,0.3,3,7,1,0.8,0,1,44,0.00188955395607852
3,0.05,5,5,0.8,1,1,0,218,0.00132808595266344
3,0.1,1,3,1,1,0.5,0,264,0.00143637583995435
3,0.05,1,7,0.65,0.9,1,1,703,0.0019628158105103
3,0.01,3,5,0.65,0.8,1,0.5,2625,0.00170574571615739
3,0.05,3,7,0.65,0.8,0.5,1,549,0.00197635913265864
3,0.1,7,5,0.65,0.8,0.5,1,465,0.00200095012324018
3,0.3,5,3,0.65,0.9,0,1,77,0.00208893629880906
3,0.05,3,5,1,0.8,1,0,271,0.00135767809014933
3,0.01,3,7,1,0.9,1,1,1243,0.00179782140660235
3,0.1,1,5,1,1,0.5,1,140,0.0018174131975437
3,0.1,5,5,1,1,0.5,1,141,0.00181833041803743
3,0.01,1,5,0.8,1,0,0,1567,0.00142825348998774
3,0.3,5,3,1,0.9,0.5,1,46,0.00190739140029757
3,0.1,5,3,1,1,1,0,101,0.0013511682972194
3,0.3,5,5,0.65,0.8,0.5,0.5,133,0.00179600621240003
3,0.05,5,7,0.65,1,0,1,710,0.00198550331462754
3,0.01,3,1,0.8,0.9,0,0,962,0.00135543581348004
3,0.1,3,3,0.65,1,1,0.5,280,0.00172916440311208
3,0.01,7,3,1,0.9,1,0.5,1275,0.00165172985123675
3,0.01,7,3,0.8,0.9,1,0.5,2799,0.00165455656944127
3,0.05,7,7,0.65,0.8,0,0,194,0.00133532123447252
3,0.1,1,1,1,0.8,1,0.5,143,0.00160829974995339
3,0.1,1,1,0.65,0.9,1,1,185,0.00197483544892242
3,0.3,7,1,0.65,0.8,0,1,107,0.00211016126407813
3,0.01,7,1,1,1,0,1,1238,0.00182034436577216
3,0.1,7,3,1,0.9,0,0,135,0.00138068737392133
3,0.01,5,3,0.8,0.8,0,1,2879,0.00188733398346293
3,0.1,3,7,0.65,1,0.5,0.5,286,0.00170733929147389
3,0.3,1,3,1,0.8,0,1,44,0.00188418804464034
3,0.05,3,3,1,0.8,0,0.5,282,0.00164510914372057
3,0.01,3,5,0.8,1,1,0.5,2807,0.00167592649919914
3,0.05,7,3,1,0.9,0.5,1,275,0.00182353830423432
3,0.01,3,3,1,0.9,0.5,0,984,0.0013863094640392
3,0.01,7,1,1,1,1,1,1242,0.00186311401260845
3,0.3,1,5,0.65,0.9,0,0.5,76,0.00177566972981594
3,0.3,5,5,0.8,0.9,0.5,1,90,0.00203479594996179
3,0.1,5,7,1,0.8,1,0.5,144,0.00164129007089833
3,0.01,3,1,1,0.9,0.5,1,1240,0.00181607185531521
3,0.05,3,3,0.8,1,0,0.5,763,0.00167069154169223
3,0.01,3,5,1,0.9,0.5,0,1021,0.00137296334011622
3,0.01,1,3,0.65,1,0,0.5,2462,0.00168206819779165
3,0.1,5,1,0.65,0.8,0.5,0,124,0.00137370275307435
3,0.01,1,1,1,0.9,0,1,1234,0.00178703686986757
3,0.05,3,5,0.8,0.9,0.5,0.5,830,0.00169133516392114
3,0.01,5,1,0.8,0.8,0,0.5,2773,0.00167894035912119
3,0.1,7,1,0.65,0.9,0.5,0.5,276,0.00176847331490716
3,0.01,1,3,0.65,0.8,0.5,0.5,2078,0.00167307913579993
3,0.1,1,3,0.65,0.9,0,0,191,0.00142718673192556
3,0.05,3,3,1,1,1,1,275,0.00180675430210835
3,0.3,7,5,0.65,0.9,1,0.5,121,0.00181450282068752
3,0.1,5,5,0.65,1,0,0,97,0.00136721931840662
3,0.3,1,3,1,0.9,0.5,0,258,0.00143982059248396
3,0.3,3,5,0.8,0.9,0,0,27,0.00142999384844989
3,0.05,7,7,1,0.9,0.5,0,193,0.00131846295225357
3,0.05,1,1,0.8,1,0.5,0,278,0.00143579691233889
3,0.1,1,1,1,0.9,1,0,179,0.00142043246596463
3,0.3,5,5,1,1,1,1,45,0.00186318215494643
3,0.05,7,3,1,0.8,0,0.5,281,0.00163544208858419
3,0.05,5,5,0.65,0.8,1,0.5,608,0.00171301163175484
3,0.1,5,3,0.8,0.9,1,0.5,345,0.00171528465237289
3,0.1,5,1,1,1,0,1,141,0.001847150137048
3,0.3,5,7,0.65,1,0.5,0,29,0.00145485684268272
3,0.01,3,1,1,1,1,1,1241,0.00181528568092272
3,0.05,5,3,1,0.9,1,0,182,0.00137984951010318
3,0.05,3,5,1,0.9,1,0.5,282,0.0016485102785582
3,0.01,5,5,0.65,0.9,1,0.5,2758,0.00167459025483918
3,0.05,3,3,1,0.8,0,0.5,282,0.0016927106746686
3,0.3,5,7,0.65,0.9,1,0,47,0.00146453895987818
3,0.01,3,1,1,0.9,1,0,976,0.00137471766569368
3,0.01,3,1,1,0.8,0.5,0,1084,0.00133851349118951
3,0.05,5,5,1,0.9,0,0,264,0.00132743206769895
3,0.1,7,3,0.65,0.8,0,0.5,423,0.00175539612862979
3,0.1,3,1,0.65,0.9,0.5,0,172,0.001376188210828
3,0.01,1,3,1,1,1,0.5,1264,0.00159154714181713
3,0.3,5,3,0.65,1,0.5,0.5,136,0.00183175686529153
3,0.05,1,5,0.8,0.9,0.5,1,564,0.00187067019513227
3,0.01,5,3,1,1,1,1,1241,0.00181906153619423
3,0.3,3,3,0.65,0.8,0.5,1,163,0.00207208054806394
3,0.05,7,3,0.65,0.9,0.5,0,188,0.0013702623808884
3,0.01,1,5,0.65,1,1,0,1601,0.00141222761730725
3,0.1,1,7,1,0.9,0.5,0,246,0.00141783283693505
3,0.1,5,3,1,0.8,0,1,141,0.00184096571347766
3,0.3,1,7,1,0.8,0,0,176,0.00143282908130572
3,0.3,3,7,0.8,0.9,0.5,0.5,154,0.0017942788062414
3,0.05,5,7,0.65,0.9,0.5,0.5,760,0.00168241148285322
3,0.3,7,3,0.8,0.9,0,0.5,97,0.00181584775236773
3,0.1,7,1,0.8,1,0.5,0,149,0.0013983353505231
3,0.01,7,3,1,0.9,1,1,1240,0.00182162301685377
3,0.05,5,5,1,0.8,0,1,275,0.0018107918640028
3,0.05,7,5,0.8,0.9,1,1,666,0.0018953434411001
3,0.3,3,5,1,0.8,0,0,29,0.00142367106056554
3,0.1,3,7,0.65,0.8,0.5,1,471,0.00197689820465987
3,0.05,3,1,1,1,1,0,222,0.00136920472615811
3,0.01,5,5,0.65,0.8,1,0.5,2454,0.00171357400977951
3,0.3,7,5,0.8,0.8,1,0.5,165,0.00177279105926476
3,0.1,5,5,0.65,0.8,0,0,93,0.00134112013991762
3,0.1,5,5,0.8,0.9,1,0.5,302,0.00172747491860941
3,0.1,3,3,1,1,0,0,84,0.00136217463840199
3,0.05,7,5,0.65,0.8,1,1,681,0.00200443521450668
3,0.05,1,7,0.65,0.9,0.5,0.5,564,0.00166787101685713
3,0.1,5,1,0.65,0.9,1,0,110,0.00138671903533755
3,0.01,5,5,0.65,0.9,1,0.5,2714,0.0016946660349917
3,0.01,5,3,1,0.9,0.5,0,962,0.00134738730430593
3,0.3,5,7,0.65,0.8,0,0.5,139,0.00176187418553417
3,0.1,5,1,0.8,0.8,0.5,0,190,0.00136977043219586
3,0.05,5,5,0.65,0.8,1,0,185,0.00133939225752434
3,0.05,7,1,1,1,0.5,0.5,281,0.001666970336018
3,0.05,7,7,1,1,1,0,200,0.00134098017025497
3,0.3,1,5,1,1,0.5,1,41,0.00186353554984996
3,0.05,1,3,1,0.8,0.5,0,516,0.00141251090125667
3,0.05,7,1,0.65,0.9,0.5,0.5,552,0.00174746852735805
3,0.05,1,7,0.8,0.8,0.5,1,542,0.00186354233101929
3,0.1,1,3,0.65,0.8,1,1,322,0.00198097368776502
3,0.3,1,7,0.8,0.9,0,0.5,77,0.00176327996238494
3,0.3,3,5,0.8,0.8,0,1,123,0.00197738519559247
3,0.05,1,7,1,1,0,0,328,0.0014114420882515
3,0.01,3,5,0.8,0.9,0,0.5,2214,0.00165639108642222
3,0.05,3,3,0.65,1,1,1,627,0.00201484275942603
3,0.05,7,3,1,1,1,1,275,0.00181115858946101
3,0.05,7,7,0.65,1,0.5,1,524,0.00199392767184292
3,0.1,7,7,1,0.8,0,1,141,0.00184039896456352
3,0.3,7,1,0.65,1,0.5,1,189,0.00215093896451537
3,0.05,7,5,0.8,0.8,0,0,204,0.00134753964422751
3,0.1,5,3,1,0.8,0,0,135,0.00135534346423043
3,0.05,7,5,0.8,0.8,0.5,0,221,0.00133627766841704
3,0.1,5,5,1,1,0,0.5,144,0.00165885791758354
3,0.3,1,1,0.8,1,0.5,0.5,124,0.00177872789155711
3,0.01,3,5,0.8,0.8,0,1,2644,0.00188537339721111
3,0.1,3,5,0.8,0.8,0,1,323,0.001890233952054
3,0.1,1,3,1,0.8,0.5,1,139,0.00179685381807939
3,0.1,7,5,0.8,0.9,0.5,1,486,0.00190662877262599
3,0.01,5,7,0.8,0.8,0.5,0.5,2661,0.00163893300023359
3,0.1,5,5,1,0.9,1,1,141,0.00184553112786689
3,0.1,7,7,1,0.8,0,0,135,0.00136146678735382
3,0.05,3,5,1,0.9,0,0.5,281,0.00163318190226094
3,0.05,1,5,0.8,0.8,0,0.5,466,0.0016326121910729
3,0.05,7,1,1,0.8,0.5,0,265,0.00136678899978935
3,0.1,5,1,0.65,0.8,0,0.5,645,0.00176794092129641
3,0.3,3,7,0.8,0.8,0.5,0.5,80,0.00175766288163749
3,0.1,1,7,0.8,1,0.5,1,268,0.00187705313684439
3,0.1,5,3,0.8,0.8,1,0.5,432,0.00166254172056082
3,0.05,7,1,1,0.9,0,0.5,281,0.00167627181865993
3,0.01,3,5,0.65,0.9,0,0.5,3005,0.00169666349365728
3,0.05,7,7,0.65,0.9,1,0.5,717,0.00171508554048861
3,0.3,3,1,1,0.9,1,0.5,45,0.00174433385163396
3,0.3,7,5,0.65,0.8,1,0.5,204,0.00185014832839994
3,0.3,7,5,0.8,1,0.5,0.5,94,0.00180106620446774
3,0.01,7,5,0.65,0.8,0.5,1,2750,0.00199792920741115
3,0.1,3,3,0.65,0.8,0.5,0.5,383,0.00173226134898113
3,0.1,3,1,1,0.8,0,0,91,0.00137039485271944
3,0.3,3,1,0.65,1,0,0,38,0.00149685212513871
3,0.3,1,5,0.65,0.9,0.5,0,147,0.001457370469991
3,0.05,1,1,0.8,0.8,0,1,420,0.00185093941861414
3,0.3,5,3,0.8,0.9,0,0,29,0.00143641939037375
3,0.01,1,5,1,1,0,0,1687,0.00141593235419217
3,0.1,1,7,1,0.9,0.5,1,139,0.00178787283097447
3,0.01,5,3,1,0.8,1,0,1113,0.00135272705150054
3,0.1,1,1,1,1,1,0.5,142,0.00158045257092622
3,0.05,7,5,1,0.9,1,0,190,0.00134655687488921
3,0.05,7,3,0.8,1,0,0,209,0.00136821519700123
3,0.01,3,3,0.65,0.9,0,1,2655,0.00201324482315901
3,0.1,5,7,0.8,1,0,0.5,443,0.00167606193176395
3,0.05,5,1,1,1,0.5,0,205,0.00136820652222414
3,0.3,3,1,1,0.8,1,1,45,0.00192190120733085
3,0.01,3,7,0.8,1,1,0,1125,0.00133660032061631
3,0.1,1,5,0.8,0.8,0.5,0.5,296,0.00165582193720761
3,0.3,7,7,0.8,1,1,0,30,0.00145115375802991
3,0.3,5,3,0.8,1,1,1,91,0.00199681810287409
3,0.1,5,1,0.8,0.9,0.5,1,708,0.00189568449722342
3,0.1,1,7,1,1,0,1,138,0.00181716341917746
3,0.3,7,7,1,0.8,1,0.5,46,0.00177430762108187
3,0.01,5,1,0.8,1,0.5,0.5,2891,0.00169993963095501
3,0.3,1,7,1,0.9,0.5,0.5,40,0.00170405505104847
3,0.05,1,5,0.65,0.8,0,1,513,0.0019768741230429
3,0.05,7,5,0.65,1,1,1,651,0.0020196118122725
3,0.3,3,7,1,1,1,0.5,46,0.00171508151504574
3,0.01,1,1,0.8,0.8,1,1,2132,0.00185446541834541
3,0.3,1,7,0.65,0.8,0.5,0,97,0.00147805096221541
3,0.3,1,3,1,1,1,0,190,0.00143427358613707
3,0.05,7,1,0.8,0.8,0,0.5,684,0.00163631845246689
3,0.1,1,5,1,0.8,0,0,438,0.00140402802322847
3,0.3,1,1,0.65,0.9,1,0,129,0.00145989377531195
3,0.3,1,5,0.8,1,1,0,125,0.00148890932189939
3,0.3,5,3,0.8,0.8,1,1,149,0.00196493699225308
3,0.1,5,7,1,0.8,0.5,0,120,0.00134187354695824
3,0.01,7,1,0.8,1,0.5,1,2654,0.00190462948562772
3,0.3,1,5,1,0.9,0.5,0.5,45,0.00170373973617951
3,0.3,7,7,1,0.9,1,0,29,0.00142983650824874
3,0.3,1,7,1,0.9,0,0,134,0.00142991478685479
3,0.05,5,5,0.8,0.9,0.5,1,626,0.00189663682466003
3,0.01,7,5,1,0.8,0,0.5,1273,0.00165689136882929
3,0.05,7,3,0.8,0.9,0,0,245,0.00137776556180231
3,0.1,7,7,1,1,0.5,0,86,0.00134798691052051
3,0.3,3,3,1,0.9,1,0,31,0.00141961202984996
3,0.1,3,7,0.65,1,1,0,120,0.0013598015968183
3,0.01,7,1,0.65,0.8,1,0.5,3201,0.0017339732552441
3,0.1,7,3,0.8,0.9,0.5,0,106,0.00134755068646177
3,0.3,5,3,0.8,0.8,1,0.5,78,0.0017964421423271
3,0.05,5,7,1,1,0.5,0.5,282,0.00164874158926718
3,0.01,3,3,0.8,1,1,0.5,2065,0.00169684620706409
3,0.01,7,3,0.8,1,1,0,1005,0.00132626355038216
3,0.05,5,5,0.8,1,1,1,829,0.00190173378271063
3,0.1,7,5,0.8,0.9,0,0.5,415,0.00167628757345851
