"Fold_ID","Area_code","Feature","Plot_label","SHAP_Value"
5,1001,"Total_Population","Population",0.0120697198435664
5,1001,"Total_houses","Households",0.0295256040990353
5,1001,"P_age_00_14","Population 0-14",-0.00252432050183415
5,1001,"P_age_15_39","Population 15-39",-0.00973530579358339
5,1001,"P_read_write","Literacy",-0.0029151204507798
5,1001,"P_internet","Internet",-0.0044166361913085
5,1001,"bias_w","Spatial bias",-0.029035322368145
5,1002,"Total_Population","Population",0.00309668085537851
5,1002,"Total_houses","Households",0.00824668817222118
5,1002,"P_age_00_14","Population 0-14",0.00813556183129549
5,1002,"P_age_15_39","Population 15-39",-0.00588107760995626
5,1002,"P_read_write","Literacy",-0.00257515837438405
5,1002,"P_internet","Internet",-0.00412369705736637
5,1002,"bias_w","Spatial bias",0.00555180944502354
5,1003,"Total_Population","Population",0.00946854893118143
5,1003,"Total_houses","Households",0.0128040686249733
5,1003,"P_age_00_14","Population 0-14",-0.0027023998554796
5,1003,"P_age_15_39","Population 15-39",-0.00567240174859762
5,1003,"P_read_write","Literacy",-0.000533048587385565
5,1003,"P_internet","Internet",-0.00553412595763803
5,1003,"bias_w","Spatial bias",-0.0317213945090771
5,1004,"Total_Population","Population",0.00228558434173465
5,1004,"Total_houses","Households",-0.000427049497375265
5,1004,"P_age_00_14","Population 0-14",0.0113819064572453
5,1004,"P_age_15_39","Population 15-39",-0.00817846134305
5,1004,"P_read_write","Literacy",-0.00188290991354734
5,1004,"P_internet","Internet",-0.00793333444744349
5,1004,"bias_w","Spatial bias",0.0100643821060658
5,1005,"Total_Population","Population",0.0133891152217984
5,1005,"Total_houses","Households",0.0437631458044052
5,1005,"P_age_00_14","Population 0-14",0.00511194160208106
5,1005,"P_age_15_39","Population 15-39",-0.0106274513527751
5,1005,"P_read_write","Literacy",-0.00610614288598299
5,1005,"P_internet","Internet",-0.00461951084434986
5,1005,"bias_w","Spatial bias",-0.0451124235987663
5,1006,"Total_Population","Population",0.0112827001139522
5,1006,"Total_houses","Households",0.0134360231459141
5,1006,"P_age_00_14","Population 0-14",0.00294178025797009
5,1006,"P_age_15_39","Population 15-39",-0.010932051576674
5,1006,"P_read_write","Literacy",-0.00220133527182043
5,1006,"P_internet","Internet",-0.00583842303603888
5,1006,"bias_w","Spatial bias",-0.0287943929433823
5,1007,"Total_Population","Population",0.00391064491122961
5,1007,"Total_houses","Households",0.00869499612599611
5,1007,"P_age_00_14","Population 0-14",0.00744871981441975
5,1007,"P_age_15_39","Population 15-39",-0.00571892084553838
5,1007,"P_read_write","Literacy",-0.00179839972406626
5,1007,"P_internet","Internet",-0.0054606725461781
5,1007,"bias_w","Spatial bias",0.00526949344202876
5,1008,"Total_Population","Population",-0.00439536105841398
5,1008,"Total_houses","Households",-0.000653931987471879
5,1008,"P_age_00_14","Population 0-14",0.00561364693567157
5,1008,"P_age_15_39","Population 15-39",-0.00950234476476908
5,1008,"P_read_write","Literacy",-0.00588931934908032
5,1008,"P_internet","Internet",-0.00561289209872484
5,1008,"bias_w","Spatial bias",-0.00170567096211016
5,1009,"Total_Population","Population",0.00304098054766655
5,1009,"Total_houses","Households",0.00681924354285002
5,1009,"P_age_00_14","Population 0-14",0.00397311244159937
5,1009,"P_age_15_39","Population 15-39",-0.00573152769356966
5,1009,"P_read_write","Literacy",-0.00262723676860332
5,1009,"P_internet","Internet",-0.00409935833886266
5,1009,"bias_w","Spatial bias",0.00596848176792264
5,1010,"Total_Population","Population",0.00907564163208008
5,1010,"Total_houses","Households",0.00980480760335922
5,1010,"P_age_00_14","Population 0-14",0.00312553625553846
5,1010,"P_age_15_39","Population 15-39",-0.00782648008316755
5,1010,"P_read_write","Literacy",-0.00260045612230897
5,1010,"P_internet","Internet",0.00189793680328876
5,1010,"bias_w","Spatial bias",-0.0299369003623724
5,1011,"Total_Population","Population",0.00401953095570207
5,1011,"Total_houses","Households",0.0132774841040373
5,1011,"P_age_00_14","Population 0-14",0.00676073739305139
5,1011,"P_age_15_39","Population 15-39",-0.0239128824323416
5,1011,"P_read_write","Literacy",-0.00294941663742065
5,1011,"P_internet","Internet",-0.00216771545819938
5,1011,"bias_w","Spatial bias",-0.0107811316847801
5,2001,"Total_Population","Population",0.0113563723862171
5,2001,"Total_houses","Households",0.0133577771484852
5,2001,"P_age_00_14","Population 0-14",-0.00382049335166812
5,2001,"P_age_15_39","Population 15-39",-0.008064697496593
5,2001,"P_read_write","Literacy",-0.00292575941421092
5,2001,"P_internet","Internet",-0.00670058140531182
5,2001,"bias_w","Spatial bias",-0.0312442742288113
5,2002,"Total_Population","Population",0.0110701005905867
5,2002,"Total_houses","Households",0.027570990845561
5,2002,"P_age_00_14","Population 0-14",-0.00352678401395679
5,2002,"P_age_15_39","Population 15-39",-0.00788523256778717
5,2002,"P_read_write","Literacy",-0.00309213832952082
5,2002,"P_internet","Internet",-0.00693053007125854
5,2002,"bias_w","Spatial bias",-0.0319056957960129
5,2003,"Total_Population","Population",0.0107621224597096
5,2003,"Total_houses","Households",0.012650509364903
5,2003,"P_age_00_14","Population 0-14",-0.0038219946436584
5,2003,"P_age_15_39","Population 15-39",-0.00681940326467156
5,2003,"P_read_write","Literacy",-0.00292575941421092
5,2003,"P_internet","Internet",-0.00848947372287512
5,2003,"bias_w","Spatial bias",-0.0324617102742195
5,2004,"Total_Population","Population",0.0116138365119696
5,2004,"Total_houses","Households",0.017326358705759
5,2004,"P_age_00_14","Population 0-14",-0.00423685228452086
5,2004,"P_age_15_39","Population 15-39",-0.0115156304091215
5,2004,"P_read_write","Literacy",-0.0040190783329308
5,2004,"P_internet","Internet",-0.00531977880746126
5,2004,"bias_w","Spatial bias",-0.0313919857144356
5,2005,"Total_Population","Population",0.0104395430535078
5,2005,"Total_houses","Households",0.0141013581305742
5,2005,"P_age_00_14","Population 0-14",-0.00382049335166812
5,2005,"P_age_15_39","Population 15-39",-0.00809737294912338
5,2005,"P_read_write","Literacy",-0.0032972302287817
5,2005,"P_internet","Internet",-0.00429865904152393
5,2005,"bias_w","Spatial bias",-0.0314342267811298
5,2006,"Total_Population","Population",0.0037036812864244
5,2006,"Total_houses","Households",0.0110900122672319
5,2006,"P_age_00_14","Population 0-14",0.0060114124789834
5,2006,"P_age_15_39","Population 15-39",-0.0184737741947174
5,2006,"P_read_write","Literacy",-0.000954983581323177
5,2006,"P_internet","Internet",-0.0015301612438634
5,2006,"bias_w","Spatial bias",-0.00986997596919537
5,3001,"Total_Population","Population",0.0040047662332654
5,3001,"Total_houses","Households",0.00845357403159142
5,3001,"P_age_00_14","Population 0-14",-0.00376819400116801
5,3001,"P_age_15_39","Population 15-39",-0.0042966459877789
5,3001,"P_read_write","Literacy",-0.000388791901059449
5,3001,"P_internet","Internet",-0.00705771148204803
5,3001,"bias_w","Spatial bias",0.0132997678592801
5,3002,"Total_Population","Population",0.00394489988684654
5,3002,"Total_houses","Households",0.0131247062236071
5,3002,"P_age_00_14","Population 0-14",-0.0021011303178966
5,3002,"P_age_15_39","Population 15-39",-0.00537010934203863
5,3002,"P_read_write","Literacy",-0.000635443371720612
5,3002,"P_internet","Internet",-0.00634480128064752
5,3002,"bias_w","Spatial bias",0.00412241695448756
5,3003,"Total_Population","Population",0.00397469196468592
5,3003,"Total_houses","Households",0.0233979243785143
5,3003,"P_age_00_14","Population 0-14",-0.00354097504168749
5,3003,"P_age_15_39","Population 15-39",-0.0057635735720396
5,3003,"P_read_write","Literacy",-0.00311794108711183
5,3003,"P_internet","Internet",-0.00670621450990438
5,3003,"bias_w","Spatial bias",-0.00798465311527252
5,3008,"Total_Population","Population",0.00428266637027264
5,3008,"Total_houses","Households",0.0137333534657955
5,3008,"P_age_00_14","Population 0-14",-0.00339240999892354
5,3008,"P_age_15_39","Population 15-39",-0.0214404258877039
5,3008,"P_read_write","Literacy",-0.00119460339192301
5,3008,"P_internet","Internet",-0.000502320588566363
5,3008,"bias_w","Spatial bias",-0.00928259640932083
5,3009,"Total_Population","Population",0.00257230387069285
5,3009,"Total_houses","Households",0.00741980224847794
5,3009,"P_age_00_14","Population 0-14",-0.00355729437433183
5,3009,"P_age_15_39","Population 15-39",-0.00531105697154999
5,3009,"P_read_write","Literacy",-0.0031507529783994
5,3009,"P_internet","Internet",-0.00416537839919329
5,3009,"bias_w","Spatial bias",0.00629567494615912
5,4002,"Total_Population","Population",0.00426481245085597
5,4002,"Total_houses","Households",0.0252537112683058
5,4002,"P_age_00_14","Population 0-14",-0.00415986170992255
5,4002,"P_age_15_39","Population 15-39",-0.00443239463493228
5,4002,"P_read_write","Literacy",-0.000932511582504958
5,4002,"P_internet","Internet",-0.0059170569293201
5,4002,"bias_w","Spatial bias",0.0132637545466423
5,4003,"Total_Population","Population",0.00411317683756351
5,4003,"Total_houses","Households",0.0248003788292408
5,4003,"P_age_00_14","Population 0-14",-0.00352233741432428
5,4003,"P_age_15_39","Population 15-39",-0.00490263290703297
5,4003,"P_read_write","Literacy",-0.000635443371720612
5,4003,"P_internet","Internet",-0.00582022871822119
5,4003,"bias_w","Spatial bias",0.0139955775812268
5,4004,"Total_Population","Population",0.00292070000432432
5,4004,"Total_houses","Households",0.00913232285529375
5,4004,"P_age_00_14","Population 0-14",-0.00273440009914339
5,4004,"P_age_15_39","Population 15-39",-0.00397181324660778
5,4004,"P_read_write","Literacy",0.00168055493850261
5,4004,"P_internet","Internet",-0.00337137375026941
5,4004,"bias_w","Spatial bias",0.0143234459683299
5,4006,"Total_Population","Population",0.00290811201557517
5,4006,"Total_houses","Households",0.00739714503288269
5,4006,"P_age_00_14","Population 0-14",0.00583824189379811
5,4006,"P_age_15_39","Population 15-39",-0.00480262050405145
5,4006,"P_read_write","Literacy",-0.0024842694401741
5,4006,"P_internet","Internet",0.00429413048550487
5,4006,"bias_w","Spatial bias",0.017725782468915
5,4007,"Total_Population","Population",-0.00354876648634672
5,4007,"Total_houses","Households",0.000161320131155662
5,4007,"P_age_00_14","Population 0-14",-0.00226232782006264
5,4007,"P_age_15_39","Population 15-39",0.00384638807736337
5,4007,"P_read_write","Literacy",-0.00146715680602938
5,4007,"P_internet","Internet",0.00113121443428099
5,4007,"bias_w","Spatial bias",0.020670510828495
5,4009,"Total_Population","Population",0.00277789705432951
5,4009,"Total_houses","Households",0.0102725001052022
5,4009,"P_age_00_14","Population 0-14",0.00442780507728457
5,4009,"P_age_15_39","Population 15-39",-0.00470193848013878
5,4009,"P_read_write","Literacy",0.00200134399347007
5,4009,"P_internet","Internet",0.00151993148028851
5,4009,"bias_w","Spatial bias",0.0214437264949083
5,4010,"Total_Population","Population",0.00259169726632535
5,4010,"Total_houses","Households",0.00654908362776041
5,4010,"P_age_00_14","Population 0-14",0.0104820383712649
5,4010,"P_age_15_39","Population 15-39",-0.00338626955635846
5,4010,"P_read_write","Literacy",0.003587611252442
5,4010,"P_internet","Internet",0.00439528981223702
5,4010,"bias_w","Spatial bias",0.0227492470294237
5,4012,"Total_Population","Population",-0.0013341058511287
5,4012,"Total_houses","Households",0.00133734324481338
5,4012,"P_age_00_14","Population 0-14",-0.00368245155550539
5,4012,"P_age_15_39","Population 15-39",-0.00538892159238458
5,4012,"P_read_write","Literacy",-0.00181480392348021
5,4012,"P_internet","Internet",0.00396019872277975
5,4012,"bias_w","Spatial bias",0.0226687621325254
5,5002,"Total_Population","Population",0.0160893891006708
5,5002,"Total_houses","Households",0.0320144854485989
5,5002,"P_age_00_14","Population 0-14",-0.00245201610960066
5,5002,"P_age_15_39","Population 15-39",-0.00993978884071112
5,5002,"P_read_write","Literacy",-0.00432095769792795
5,5002,"P_internet","Internet",-0.00521316286176443
5,5002,"bias_w","Spatial bias",-0.0375428050756454
5,5003,"Total_Population","Population",0.017906541004777
5,5003,"Total_houses","Households",0.0227225553244352
5,5003,"P_age_00_14","Population 0-14",-0.00240068207494915
5,5003,"P_age_15_39","Population 15-39",-0.0100876335054636
5,5003,"P_read_write","Literacy",-0.00460851658135653
5,5003,"P_internet","Internet",-0.0053270380012691
5,5003,"bias_w","Spatial bias",-0.0436669699847698
5,5004,"Total_Population","Population",0.0167644787579775
5,5004,"Total_houses","Households",0.0216089934110641
5,5004,"P_age_00_14","Population 0-14",-0.00225501321256161
5,5004,"P_age_15_39","Population 15-39",-0.0105672487989068
5,5004,"P_read_write","Literacy",-0.00332719716243446
5,5004,"P_internet","Internet",-0.0050065815448761
5,5004,"bias_w","Spatial bias",-0.0515289641916752
5,5005,"Total_Population","Population",-0.0104569774121046
5,5005,"Total_houses","Households",-0.0104668028652668
5,5005,"P_age_00_14","Population 0-14",-0.00143402756657451
5,5005,"P_age_15_39","Population 15-39",0.0365623943507671
5,5005,"P_read_write","Literacy",-0.00178474374115467
5,5005,"P_internet","Internet",0.00815949216485023
5,5005,"bias_w","Spatial bias",-0.073334626853466
5,5012,"Total_Population","Population",-0.00700694136321545
5,5012,"Total_houses","Households",-0.0169401485472918
5,5012,"P_age_00_14","Population 0-14",-0.0023023746907711
5,5012,"P_age_15_39","Population 15-39",0.0184182357043028
5,5012,"P_read_write","Literacy",-0.00200804485939443
5,5012,"P_internet","Internet",0.00902750715613365
5,5012,"bias_w","Spatial bias",-0.0408158004283905
5,5013,"Total_Population","Population",-0.00530276028439403
5,5013,"Total_houses","Households",0.00395830906927586
