"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
2,0.1,1,1,0.8,1,1,0,72,0.0790211094723253
2,0.1,7,5,1,1,0.5,0.5,55,0.0807238667833803
2,0.1,3,1,0.8,1,1,1,89,0.0793197329920373
2,0.05,5,3,1,1,1,1,141,0.0771253265976514
2,0.1,3,3,0.8,1,0.5,1,62,0.0809995567625245
2,0.05,5,1,0.65,0.9,0,0,106,0.0835818629935138
2,0.05,1,5,0.65,1,1,0.5,221,0.0796862002263907
2,0.05,7,1,0.65,0.8,1,0,111,0.0809207200458918
2,0.1,3,3,0.8,0.9,0,1,78,0.079382775685717
2,0.01,5,5,1,0.8,0,1,688,0.0795529178222175
2,0.3,1,1,1,0.9,0.5,0.5,119,0.0797471881840595
2,0.05,7,1,1,0.8,0,0.5,124,0.0785918333994447
2,0.05,3,3,0.8,1,0.5,1,157,0.0781968963592298
2,0.01,5,3,0.8,1,0.5,1,788,0.0789382396192798
2,0.05,3,5,0.65,0.9,0,1,194,0.0785223623394606
2,0.1,1,3,0.8,0.9,0,0,141,0.0793604076067527
2,0.3,5,5,1,1,0,0,11,0.0835282434645239
2,0.01,5,3,0.65,0.9,0,1,774,0.0787474051941217
2,0.1,7,7,0.8,0.8,0,1,52,0.079347305615012
2,0.1,7,7,1,1,0,0.5,44,0.0806604629332315
2,0.01,5,7,0.65,0.8,1,0.5,569,0.0799648247453649
2,0.3,1,1,1,0.9,1,1,170,0.079251184770135
2,0.01,7,1,1,0.8,1,0.5,775,0.0793148388489845
2,0.01,5,1,1,1,0.5,1,549,0.0827771280668958
2,0.01,3,3,0.65,0.8,0,0,623,0.0787278657590611
2,0.1,3,1,0.65,0.8,0.5,1,85,0.0794431248635455
2,0.3,3,7,1,0.8,0,1,26,0.0795570033793949
2,0.05,5,5,0.8,1,1,0,94,0.0786225061748807
2,0.1,1,3,1,1,0.5,0,248,0.0781921358385245
2,0.05,1,7,0.65,0.9,1,1,290,0.0788071936152995
2,0.01,3,5,0.65,0.8,1,0.5,609,0.077986705072602
2,0.05,3,7,0.65,0.8,0.5,1,125,0.0785577795290982
2,0.1,7,5,0.65,0.8,0.5,1,78,0.0778070080530081
2,0.3,5,3,0.65,0.9,0,1,14,0.082355273148256
2,0.05,3,5,1,0.8,1,0,97,0.0803011575850977
2,0.01,3,7,1,0.9,1,1,744,0.0797731036709242
2,0.1,1,5,1,1,0.5,1,206,0.0797446274024629
2,0.1,5,5,1,1,0.5,1,78,0.079524193744541
2,0.01,1,5,0.8,1,0,0,518,0.0793011686114485
2,0.3,5,3,1,0.9,0.5,1,30,0.0791249832104839
2,0.1,5,3,1,1,1,0,49,0.0806928562721913
2,0.3,5,5,0.65,0.8,0.5,0.5,15,0.0815441423268791
2,0.05,5,7,0.65,1,0,1,199,0.0781738786129583
2,0.01,3,1,0.8,0.9,0,0,547,0.0810040991467918
2,0.1,3,3,0.65,1,1,0.5,73,0.0806991835269583
2,0.01,7,3,1,0.9,1,0.5,723,0.0800124492000632
2,0.01,7,3,0.8,0.9,1,0.5,670,0.0792877343688198
2,0.05,7,7,0.65,0.8,0,0,92,0.0779270884083261
2,0.1,1,1,1,0.8,1,0.5,249,0.078453842105023
2,0.1,1,1,0.65,0.9,1,1,141,0.0787358559724624
2,0.3,7,1,0.65,0.8,0,1,17,0.0820199497360186
2,0.01,7,1,1,1,0,1,666,0.0793176322552802
2,0.1,7,3,1,0.9,0,0,82,0.0819558089884224
2,0.01,5,3,0.8,0.8,0,1,677,0.0792066102990537
2,0.1,3,7,0.65,1,0.5,0.5,84,0.078357837230619
2,0.3,1,3,1,0.8,0,1,135,0.0795292166838778
2,0.05,3,3,1,0.8,0,0.5,130,0.0806988605135424
2,0.01,3,5,0.8,1,1,0.5,636,0.0789062683353658
2,0.05,7,3,1,0.9,0.5,1,142,0.0811223045493945
2,0.01,3,3,1,0.9,0.5,0,474,0.0797939763748669
2,0.01,7,1,1,1,1,1,574,0.0816189995014325
2,0.3,1,5,0.65,0.9,0,0.5,40,0.0791548517855466
2,0.3,5,5,0.8,0.9,0.5,1,33,0.0811120142467801
2,0.1,5,7,1,0.8,1,0.5,62,0.0793115008269992
2,0.01,3,1,1,0.9,0.5,1,680,0.077436051343821
2,0.05,3,3,0.8,1,0,0.5,134,0.0801733606892758
2,0.01,3,5,1,0.9,0.5,0,541,0.0787455627192557
2,0.01,1,3,0.65,1,0,0.5,747,0.0803159238010258
2,0.1,5,1,0.65,0.8,0.5,0,51,0.0823897302832704
2,0.01,1,1,1,0.9,0,1,1359,0.0797380487662569
2,0.05,3,5,0.8,0.9,0.5,0.5,172,0.0784099557640665
2,0.01,5,1,0.8,0.8,0,0.5,566,0.0796833881706909
2,0.1,7,1,0.65,0.9,0.5,0.5,77,0.0795613157288807
2,0.01,1,3,0.65,0.8,0.5,0.5,791,0.0786705122055739
2,0.1,1,3,0.65,0.9,0,0,51,0.0800228571079642
2,0.05,3,3,1,1,1,1,123,0.0796286453705232
2,0.3,7,5,0.65,0.9,1,0.5,25,0.0817141424877319
2,0.1,5,5,0.65,1,0,0,72,0.0770008241467784
2,0.3,1,3,1,0.9,0.5,0,43,0.0804543688651749
2,0.3,3,5,0.8,0.9,0,0,20,0.0820095726692256
2,0.05,7,7,1,0.9,0.5,0,96,0.079330085148795
2,0.05,1,1,0.8,1,0.5,0,188,0.0782007793990597
2,0.1,1,1,1,0.9,1,0,210,0.0805560802986342
2,0.3,5,5,1,1,1,1,27,0.0811326321545018
2,0.05,7,3,1,0.8,0,0.5,125,0.0782905718816352
2,0.05,5,5,0.65,0.8,1,0.5,112,0.0792364534661183
2,0.1,5,3,0.8,0.9,1,0.5,76,0.0786815901304613
2,0.1,5,1,1,1,0,1,53,0.0806278185377379
2,0.3,5,7,0.65,1,0.5,0,20,0.0855477104842461
2,0.01,3,1,1,1,1,1,595,0.0793090060207199
2,0.05,5,3,1,0.9,1,0,116,0.0785114507374478
2,0.05,3,5,1,0.9,1,0.5,122,0.0792900578387949
2,0.01,5,5,0.65,0.9,1,0.5,627,0.0782948403930639
2,0.05,3,3,1,0.8,0,0.5,152,0.0789809720540626
2,0.3,5,7,0.65,0.9,1,0,11,0.081512817043476
2,0.01,3,1,1,0.9,1,0,548,0.0791031652350525
2,0.01,3,1,1,0.8,0.5,0,487,0.0810164086012357
2,0.05,5,5,1,0.9,0,0,116,0.0805825676002741
2,0.1,7,3,0.65,0.8,0,0.5,67,0.0797608169951593
2,0.1,3,1,0.65,0.9,0.5,0,52,0.0783127824288573
2,0.01,1,3,1,1,1,0.5,1824,0.0798533502934128
2,0.3,5,3,0.65,1,0.5,0.5,17,0.0826689281416981
2,0.05,1,5,0.8,0.9,0.5,1,241,0.0795060504331821
2,0.01,5,3,1,1,1,1,875,0.0793567847791204
2,0.3,3,3,0.65,0.8,0.5,1,30,0.0814216411809363
2,0.05,7,3,0.65,0.9,0.5,0,112,0.0814590110539325
2,0.01,1,5,0.65,1,1,0,653,0.0797737027396364
2,0.1,1,7,1,0.9,0.5,0,83,0.0792467384764397
2,0.1,5,3,1,0.8,0,1,61,0.0799023758879926
2,0.3,1,7,1,0.8,0,0,33,0.0805459554493278
2,0.3,3,7,0.8,0.9,0.5,0.5,16,0.0788379032714533
2,0.05,5,7,0.65,0.9,0.5,0.5,110,0.0789382016556051
2,0.3,7,3,0.8,0.9,0,0.5,19,0.0844288409440504
2,0.1,7,1,0.8,1,0.5,0,79,0.0827691831308214
2,0.01,7,3,1,0.9,1,1,758,0.0797359682930888
2,0.05,5,5,1,0.8,0,1,126,0.0773584590342725
2,0.05,7,5,0.8,0.9,1,1,201,0.079085209255336
2,0.3,3,5,1,0.8,0,0,11,0.0813788942054782
2,0.1,3,7,0.65,0.8,0.5,1,108,0.0784200439056378
2,0.05,3,1,1,1,1,0,103,0.0808482205582239
2,0.01,5,5,0.65,0.8,1,0.5,695,0.0784289188694924
2,0.3,7,5,0.8,0.8,1,0.5,17,0.0812654621377863
2,0.1,5,5,0.65,0.8,0,0,60,0.0809319478666022
2,0.1,5,5,0.8,0.9,1,0.5,69,0.0792543998524786
2,0.1,3,3,1,1,0,0,44,0.0800948194895881
2,0.05,7,5,0.65,0.8,1,1,187,0.0784676618728596
2,0.05,1,7,0.65,0.9,0.5,0.5,253,0.0779739601880187
2,0.1,5,1,0.65,0.9,1,0,48,0.0802990482285066
2,0.01,5,5,0.65,0.9,1,0.5,662,0.0788635963559443
2,0.01,5,3,1,0.9,0.5,0,483,0.0803634090059023
2,0.3,5,7,0.65,0.8,0,0.5,15,0.0817249605620713
2,0.1,5,1,0.8,0.8,0.5,0,81,0.0799961082814562
2,0.05,5,5,0.65,0.8,1,0,100,0.0801927962021977
2,0.05,7,1,1,1,0.5,0.5,230,0.0789432578322244
2,0.05,7,7,1,1,1,0,114,0.079399965287635
2,0.3,1,5,1,1,0.5,1,206,0.0792926733557927
2,0.05,1,3,1,0.8,0.5,0,290,0.0796565630926807
2,0.05,7,1,0.65,0.9,0.5,0.5,141,0.0790986858736963
2,0.05,1,7,0.8,0.8,0.5,1,264,0.0796440104188695
2,0.1,1,3,0.65,0.8,1,1,158,0.0800911508092427
2,0.3,1,7,0.8,0.9,0,0.5,62,0.0781355874456113
2,0.3,3,5,0.8,0.8,0,1,23,0.0793329483852353
2,0.05,1,7,1,1,0,0,506,0.0780432467111181
2,0.01,3,5,0.8,0.9,0,0.5,721,0.0771476530169025
2,0.05,3,3,0.65,1,1,1,150,0.0801611382383889
2,0.05,7,3,1,1,1,1,126,0.0789376633681708
2,0.05,7,7,0.65,1,0.5,1,128,0.0802738039323237
2,0.1,7,7,1,0.8,0,1,66,0.0809058050826903
2,0.3,7,1,0.65,1,0.5,1,20,0.081659884034953
2,0.05,7,5,0.8,0.8,0,0,88,0.0821710010514413
2,0.1,5,3,1,0.8,0,0,40,0.0814655912045401
2,0.05,7,5,0.8,0.8,0.5,0,91,0.0794076210987028
2,0.1,5,5,1,1,0,0.5,81,0.0811419446229052
2,0.3,1,1,0.8,1,0.5,0.5,26,0.0804676344572772
2,0.01,3,5,0.8,0.8,0,1,620,0.0797073269435548
2,0.1,3,5,0.8,0.8,0,1,64,0.0803123946236431
2,0.1,1,3,1,0.8,0.5,1,255,0.0806369490542585
2,0.1,7,5,0.8,0.9,0.5,1,68,0.0788718992339339
2,0.01,5,7,0.8,0.8,0.5,0.5,586,0.0781803867061376
2,0.1,5,5,1,0.9,1,1,86,0.0792494080035863
2,0.1,7,7,1,0.8,0,0,47,0.080544596240196
2,0.05,3,5,1,0.9,0,0.5,124,0.0780406497399253
2,0.05,1,5,0.8,0.8,0,0.5,327,0.0791630676216314
2,0.05,7,1,1,0.8,0.5,0,147,0.081210131799716
2,0.1,5,1,0.65,0.8,0,0.5,88,0.0803423868263363
2,0.3,3,7,0.8,0.8,0.5,0.5,21,0.0804630862629226
2,0.1,1,7,0.8,1,0.5,1,109,0.0803539476078208
2,0.1,5,3,0.8,0.8,1,0.5,59,0.0790654383566201
2,0.05,7,1,1,0.9,0,0.5,108,0.0802751086151646
2,0.01,3,5,0.65,0.9,0,0.5,658,0.0787014052298071
2,0.05,7,7,0.65,0.9,1,0.5,115,0.0789014280872724
2,0.3,3,1,1,0.9,1,0.5,16,0.0806951102502954
2,0.3,7,5,0.65,0.8,1,0.5,16,0.081291513355347
2,0.3,7,5,0.8,1,0.5,0.5,31,0.0817882554313959
2,0.01,7,5,0.65,0.8,0.5,1,642,0.0792248288889313
2,0.1,3,3,0.65,0.8,0.5,0.5,62,0.0790707186484511
2,0.1,3,1,1,0.8,0,0,47,0.0823452973267261
2,0.3,3,1,0.65,1,0,0,12,0.0888780588692418
2,0.3,1,5,0.65,0.9,0.5,0,34,0.0805567104443147
2,0.05,1,1,0.8,0.8,0,1,410,0.0791128421899509
2,0.3,5,3,0.8,0.9,0,0,14,0.0820128312523346
2,0.01,1,5,1,1,0,0,891,0.0794553338445059
2,0.1,1,7,1,0.9,0.5,1,312,0.0792710626943091
2,0.01,5,3,1,0.8,1,0,504,0.077762499778618
2,0.1,1,1,1,1,1,0.5,199,0.0794104863112483
2,0.05,7,5,1,0.9,1,0,107,0.0798883618142466
2,0.05,7,3,0.8,1,0,0,113,0.0814963640048788
2,0.01,3,3,0.65,0.9,0,1,729,0.0799078156276267
2,0.1,5,7,0.8,1,0,0.5,56,0.0796054196241336
2,0.05,5,1,1,1,0.5,0,120,0.0825760308008188
2,0.3,3,1,1,0.8,1,1,27,0.0789609574156021
2,0.01,3,7,0.8,1,1,0,501,0.0770033538691628
2,0.1,1,5,0.8,0.8,0.5,0.5,98,0.0784420501197638
2,0.3,7,7,0.8,1,1,0,14,0.086240752616976
2,0.3,5,3,0.8,1,1,1,27,0.0813684502244759
2,0.1,5,1,0.8,0.9,0.5,1,78,0.0791691928948159
2,0.1,1,7,1,1,0,1,238,0.0784824790721181
2,0.3,7,7,1,0.8,1,0.5,13,0.0806795746425823
2,0.01,5,1,0.8,1,0.5,0.5,657,0.0789825968128971
2,0.3,1,7,1,0.9,0.5,0.5,49,0.0790184218163455
2,0.05,1,5,0.65,0.8,0,1,239,0.0772848094541207
2,0.05,7,5,0.65,1,1,1,183,0.0792722485384429
2,0.3,3,7,1,1,1,0.5,24,0.0796748296762716
2,0.01,1,1,0.8,0.8,1,1,1551,0.0785688244283807
2,0.3,1,7,0.65,0.8,0.5,0,14,0.0809074887876595
2,0.3,1,3,1,1,1,0,50,0.080654120982832
