"Feature_Label","Impact_SHAP_Value"
"Literacy",0.0114452923703761
"Population 15-39",0.00914429704392549
"Population",0.00827723782098424
"Internet",0.0080773059986285
"Population 0-14",0.00789672443730202
"Households",0.00694399424150204
"Educational lag",0.00646776697124879
"Electricity",0.00440580221730633
"Indigenous language",0.00317657747593528
"University degree",0.00279235575837709
"Car",0.00272604922864026
"Extreme poverty",0.00263476273656451
"Income",0.00251061460310975
"Afrodescendants",0.00239897633053391
"Population 65+",0.00221455481591174
"Vulnerable income",0.00218436720819321
"Female",0.00212832331542426
"Poor housing conditions",0.00212650255555787
"Mean occupants",0.00211643490244729
"Poverty",0.00203310535656313
