"Fold_ID","Area_code","Feature","Plot_label","SHAP_Value"
1,1001,"Total_houses","Households",0.0231084283441305
1,1001,"P_age_00_14","Population 0-14",-0.0110726291313767
1,1001,"P_age_15_39","Population 15-39",-0.00623996974900365
1,1001,"P_read_write","Literacy",-0.0382071547210217
1,1001,"P_internet","Internet",-0.0141039621084929
1,1001,"Current_income","Income",-0.00441338866949081
1,1001,"P_educational_lag","Educational lag",-0.0410970821976662
1,1002,"Total_houses","Households",0.00652746018022299
1,1002,"P_age_00_14","Population 0-14",0.0136207370087504
1,1002,"P_age_15_39","Population 15-39",-0.00623996974900365
1,1002,"P_read_write","Literacy",-0.0117385629564524
1,1002,"P_internet","Internet",-0.0112483613193035
1,1002,"Current_income","Income",-0.00441338866949081
1,1002,"P_educational_lag","Educational lag",0.00439246837049723
1,1003,"Total_houses","Households",0.00652746018022299
1,1003,"P_age_00_14","Population 0-14",0.00856118183583021
1,1003,"P_age_15_39","Population 15-39",-0.00483823614194989
1,1003,"P_read_write","Literacy",-0.0117385629564524
1,1003,"P_internet","Internet",-0.0141039621084929
1,1003,"Current_income","Income",-0.00441338866949081
1,1003,"P_educational_lag","Educational lag",0.00439246837049723
1,1004,"Total_houses","Households",-0.00249255704693496
1,1004,"P_age_00_14","Population 0-14",0.00938741210848093
1,1004,"P_age_15_39","Population 15-39",-0.00623996974900365
1,1004,"P_read_write","Literacy",-0.0117385629564524
1,1004,"P_internet","Internet",-0.0141039621084929
1,1004,"Current_income","Income",-0.00441338866949081
1,1004,"P_educational_lag","Educational lag",-0.00519665377214551
1,1005,"Total_houses","Households",0.0203189048916101
1,1005,"P_age_00_14","Population 0-14",0.00938741210848093
1,1005,"P_age_15_39","Population 15-39",-0.00623996974900365
1,1005,"P_read_write","Literacy",-0.0241910833865404
1,1005,"P_internet","Internet",-0.0141039621084929
1,1005,"Current_income","Income",-0.00441338866949081
1,1005,"P_educational_lag","Educational lag",-0.00519665377214551
1,1006,"Total_houses","Households",0.00652746018022299
1,1006,"P_age_00_14","Population 0-14",0.00938741210848093
1,1006,"P_age_15_39","Population 15-39",-0.00623996974900365
1,1006,"P_read_write","Literacy",-0.0117385629564524
1,1006,"P_internet","Internet",-0.0141039621084929
