"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
1,0.1,1,1,0.8,1,1,0,111,0.0795877141268235
1,0.1,7,5,1,1,0.5,0.5,62,0.0816896476004768
1,0.1,3,1,0.8,1,1,1,89,0.0814766564793632
1,0.05,5,3,1,1,1,1,120,0.0812962594745401
1,0.1,3,3,0.8,1,0.5,1,70,0.0781048716179522
1,0.05,5,1,0.65,0.9,0,0,102,0.0829265598107622
1,0.05,1,5,0.65,1,1,0.5,371,0.0801227395680618
1,0.05,7,1,0.65,0.8,1,0,111,0.0823524192123074
1,0.1,3,3,0.8,0.9,0,1,57,0.0793831291216615
1,0.01,5,5,1,0.8,0,1,780,0.0809565882273826
1,0.3,1,1,1,0.9,0.5,0.5,108,0.0795710090534096
1,0.05,7,1,1,0.8,0,0.5,108,0.0797116634803933
1,0.05,3,3,0.8,1,0.5,1,199,0.079051746514438
1,0.01,5,3,0.8,1,0.5,1,877,0.0793838307403878
1,0.05,3,5,0.65,0.9,0,1,168,0.0793644048343817
1,0.1,1,3,0.8,0.9,0,0,161,0.0801893656688735
1,0.3,5,5,1,1,0,0,15,0.0816129096030045
1,0.01,5,3,0.65,0.9,0,1,677,0.0796737312257121
1,0.1,7,7,0.8,0.8,0,1,99,0.0788638932732373
1,0.1,7,7,1,1,0,0.5,48,0.0804084832768379
1,0.01,5,7,0.65,0.8,1,0.5,797,0.0800970087666555
1,0.3,1,1,1,0.9,1,1,168,0.0801748048241245
1,0.01,7,1,1,0.8,1,0.5,837,0.07933637940014
1,0.01,5,1,1,1,0.5,1,792,0.0812398221431316
1,0.01,3,3,0.65,0.8,0,0,447,0.0804334348173657
1,0.1,3,1,0.65,0.8,0.5,1,115,0.0797638801934159
1,0.3,3,7,1,0.8,0,1,22,0.0796101498857174
1,0.05,5,5,0.8,1,1,0,107,0.0800969636934197
1,0.1,1,3,1,1,0.5,0,333,0.0793831103105911
1,0.05,1,7,0.65,0.9,1,1,479,0.0789946326357632
1,0.01,3,5,0.65,0.8,1,0.5,735,0.0780665037163305
1,0.05,3,7,0.65,0.8,0.5,1,166,0.0803716840011766
1,0.1,7,5,0.65,0.8,0.5,1,85,0.0810885939639087
1,0.3,5,3,0.65,0.9,0,1,23,0.0816229561953967
1,0.05,3,5,1,0.8,1,0,101,0.0797156742579699
1,0.01,3,7,1,0.9,1,1,638,0.080268422980224
1,0.1,1,5,1,1,0.5,1,421,0.0791176617654459
1,0.1,5,5,1,1,0.5,1,133,0.0803297062395335
1,0.01,1,5,0.8,1,0,0,1303,0.0788383678840055
