"Feature_Label","Impact_SHAP_Value"
"Spatial bias",0.0176253007821331
"Population 0-14",0.00753891401731639
"Population 15-39",0.00738250778236171
"Population",0.00694816489270618
"Internet",0.00646833620152803
"Households",0.00596168116673997
"Literacy",0.00567275023488181
"Educational lag",0.00515632622810239
"Vulnerable income",0.00319897505307181
"Mean occupants",0.00315291236064974
"Indigenous language",0.00313975858149736
"Female",0.00247578093549879
"Poverty",0.00227219273958116
"Electricity",0.00220875621070116
"Cell phone",0.00217001661386031
"Extreme poverty",0.00204677804271725
"Income",0.0020411053058019
"Poor housing conditions",0.00195714856209429
"Population 65+",0.001803515849825
"University degree",0.00176650625346588
