"Fold_ID","Feature_Label","Impact_SHAP_Value"
5,"Spatial bias",0.018652162927133
5,"Households",0.00934498479282374
5,"Population 15-39",0.00914972095503402
5,"Population 0-14",0.00742488733816183
5,"Internet",0.00595045738417175
5,"Population",0.00528922790222669
5,"Literacy",0.00444225706180115
5,"Mean occupants",0.00371578439157863
5,"Poverty",0.0031673571999193
5,"Electricity",0.00267367525571364
5,"Indigenous language",0.00204769106367889
5,"Afrodescendants",0.00204220301155139
5,"Migrants",0.00178760575005986
5,"Cell phone",0.00176203524140458
5,"Income",0.00152011401475187
5,"Extreme poverty",0.00136881019299894
5,"Female",0.00128905615478908
5,"Population 65+",0.00125691001215932
5,"University degree",0.00105843013951927
5,"Poor housing conditions",0.00100921515395357
