"Area_code","Feature","Plot_label","SHAP_Value_Avg"
1001,"P_age_00_14","Population 0-14",-0.00466025643981993
1001,"P_age_15_39","Population 15-39",-0.00692861923016608
1001,"P_internet","Internet",-0.00433351779065561
1001,"P_read_write","Literacy",-0.00660345202777535
1001,"Total_Population","Population",0.0128233499126509
1001,"Total_houses","Households",0.0119132986292243
1001,"bias_w","Spatial bias",-0.0082063878653571
1002,"P_age_00_14","Population 0-14",0.0116773985791951
1002,"P_age_15_39","Population 15-39",-0.00603595364373177
1002,"P_internet","Internet",-0.00570655142655596
1002,"P_read_write","Literacy",-0.0053968281717971
1002,"Total_Population","Population",0.00921977660618722
1002,"Total_houses","Households",0.00698322692187503
1002,"bias_w","Spatial bias",-0.00635172956390306
1003,"P_age_00_14","Population 0-14",0.00278146713390015
1003,"P_age_15_39","Population 15-39",-0.00354785009403713
1003,"P_internet","Internet",-0.00885498779825866
1003,"P_read_write","Literacy",-0.00421146218286594
1003,"Total_Population","Population",0.0135516173904762
1003,"Total_houses","Households",0.00960037304321304
1003,"bias_w","Spatial bias",-0.0379074984230101
1004,"P_age_00_14","Population 0-14",0.0151494746096432
1004,"P_age_15_39","Population 15-39",-0.00845713180024177
1004,"P_internet","Internet",-0.0134617453441024
1004,"P_read_write","Literacy",-0.00639646034687757
1004,"Total_Population","Population",0.00025776466645766
1004,"Total_houses","Households",-0.00121988652972504
1004,"bias_w","Spatial bias",0.016310682753101
1005,"P_age_00_14","Population 0-14",0.00940001895651221
1005,"P_age_15_39","Population 15-39",-0.00689764111302793
1005,"P_internet","Internet",-0.00525052065495402
1005,"P_read_write","Literacy",-0.0107380202971399
1005,"Total_Population","Population",0.0183895183727145
1005,"Total_houses","Households",0.0114423547056504
1005,"bias_w","Spatial bias",-0.0362534425221384
1006,"P_age_00_14","Population 0-14",0.0109284929931164
1006,"P_age_15_39","Population 15-39",-0.00836584658827633
1006,"P_internet","Internet",-0.00863142218440771
1006,"P_read_write","Literacy",-0.00586540257791057
1006,"Total_Population","Population",0.0102901749778539
1006,"Total_houses","Households",0.00872938724933192
1006,"bias_w","Spatial bias",-0.0253440896049142
1007,"P_age_00_14","Population 0-14",0.0115108384052292
1007,"P_age_15_39","Population 15-39",-0.00770212814677507
1007,"P_internet","Internet",-0.0111137004569173
1007,"P_read_write","Literacy",-0.00451549311401322
1007,"Total_Population","Population",0.010529158404097
1007,"Total_houses","Households",0.0113938095746562
1007,"bias_w","Spatial bias",-0.00667814211919904
1008,"P_age_00_14","Population 0-14",0.0112766714591999
1008,"P_age_15_39","Population 15-39",-0.0136041630757973
1008,"P_internet","Internet",-0.00289766905189026
1008,"P_read_write","Literacy",-0.0162089350633323
1008,"Total_Population","Population",-0.0122020491398871
1008,"Total_houses","Households",-0.00638530802098103
1008,"bias_w","Spatial bias",-0.00723886903142557
1009,"P_age_00_14","Population 0-14",0.012764741666615
1009,"P_age_15_39","Population 15-39",-0.00843285815790296
1009,"P_internet","Internet",-0.00940454914234579
1009,"P_read_write","Literacy",-0.00309160191682167
1009,"Total_Population","Population",0.00136244465102209
1009,"Total_houses","Households",0.00303195506603515
1009,"bias_w","Spatial bias",0.0160583760589361
1010,"P_age_00_14","Population 0-14",0.0105308722704649
1010,"P_age_15_39","Population 15-39",-0.00752743473276496
1010,"P_internet","Internet",-0.000578387975110672
1010,"P_read_write","Literacy",-0.00712888868292794
1010,"Total_Population","Population",-0.000694499583914876
1010,"Total_houses","Households",0.00147503262269311
1010,"bias_w","Spatial bias",0.0111053326399997
1011,"P_age_00_14","Population 0-14",0.00963738292921335
1011,"P_age_15_39","Population 15-39",-0.0242118048481643
1011,"P_internet","Internet",-0.00845304795075208
1011,"P_read_write","Literacy",-0.0110971187241375
1011,"Total_Population","Population",0.00717621704097837
1011,"Total_houses","Households",0.00657114427303895
1011,"bias_w","Spatial bias",-0.0141387342009693
2001,"P_age_00_14","Population 0-14",-0.00907991640269756
2001,"P_age_15_39","Population 15-39",-0.00626418786123395
2001,"P_internet","Internet",-0.00567611330188811
2001,"P_read_write","Literacy",-0.00893095607170835
2001,"Total_Population","Population",0.0125346577260643
2001,"Total_houses","Households",0.0109100673580542
2001,"bias_w","Spatial bias",-0.00879535323474556
2002,"P_age_00_14","Population 0-14",-0.00900485971942544
2002,"P_age_15_39","Population 15-39",-0.00836805382277817
2002,"P_internet","Internet",-0.00510593698709272
2002,"P_read_write","Literacy",-0.00695517985150218
2002,"Total_Population","Population",0.0120687101734802
2002,"Total_houses","Households",0.00988292112015188
2002,"bias_w","Spatial bias",-0.00916720693930984
2003,"P_age_00_14","Population 0-14",-0.0090186195448041
2003,"P_age_15_39","Population 15-39",-0.00659392797388136
2003,"P_internet","Internet",-0.00534338579745963
2003,"P_read_write","Literacy",-0.00754171301377937
2003,"Total_Population","Population",0.0129943132633343
2003,"Total_houses","Households",0.0101082228939049
2003,"bias_w","Spatial bias",-0.0227738083340228
2004,"P_age_00_14","Population 0-14",-0.00872612232342362
2004,"P_age_15_39","Population 15-39",-0.0164652087260038
2004,"P_internet","Internet",-0.00762429356109351
2004,"P_read_write","Literacy",-0.00911737477872521
2004,"Total_Population","Population",0.0132556356256828
2004,"Total_houses","Households",0.0115974430227652
2004,"bias_w","Spatial bias",-0.0100009788293391
2005,"P_age_00_14","Population 0-14",-0.0100915965158492
2005,"P_age_15_39","Population 15-39",-0.00802866159938276
2005,"P_internet","Internet",-0.00651820143684745
2005,"P_read_write","Literacy",-0.00805841927649453
2005,"Total_Population","Population",0.0151655890513211
2005,"Total_houses","Households",0.0105026814271696
