"Fold_ID","Area_code","Feature","Plot_label","SHAP_Value"
2,1001,"Total_Population","Population",0.0150920795276761
2,1001,"P_age_00_14","Population 0-14",-0.00333065306767821
2,1001,"P_age_15_39","Population 15-39",-0.00650217616930604
2,1001,"P_read_write","Literacy",-0.00334437866695225
2,1001,"P_internet","Internet",-0.000829398341011256
2,1001,"P_educational_lag","Educational lag",-0.0104699973016977
2,1001,"bias_w","Spatial bias",-0.00640838593244553
2,1002,"Total_Population","Population",0.0158070661127567
2,1002,"P_age_00_14","Population 0-14",0.0136575475335121
2,1002,"P_age_15_39","Population 15-39",-0.00466859061270952
2,1002,"P_read_write","Literacy",-0.0056874668225646
2,1002,"P_internet","Internet",-0.00320337642915547
2,1002,"P_educational_lag","Educational lag",0.00349727924913168
2,1002,"bias_w","Spatial bias",-0.00204918417148292
2,1003,"Total_Population","Population",0.0134818227961659
2,1003,"P_age_00_14","Population 0-14",0.000956795760430396
2,1003,"P_age_15_39","Population 15-39",-0.00177492282819003
2,1003,"P_read_write","Literacy",0.000334499083692208
2,1003,"P_internet","Internet",-0.00465524755418301
2,1003,"P_educational_lag","Educational lag",0.00373568409122527
2,1003,"bias_w","Spatial bias",-0.0395416393876076
2,1004,"Total_Population","Population",-0.00397583097219467
2,1004,"P_age_00_14","Population 0-14",0.0140203973278403
2,1004,"P_age_15_39","Population 15-39",-0.00791107024997473
2,1004,"P_read_write","Literacy",-0.0108349313959479
2,1004,"P_internet","Internet",-0.00754108279943466
2,1004,"P_educational_lag","Educational lag",-8.25470124254934e-06
2,1004,"bias_w","Spatial bias",0.0243469774723053
2,1005,"Total_Population","Population",0.0155097600072622
2,1005,"P_age_00_14","Population 0-14",0.0080367112532258
2,1005,"P_age_15_39","Population 15-39",-0.00503676384687424
2,1005,"P_read_write","Literacy",-0.00934757012873888
2,1005,"P_internet","Internet",-0.00391870178282261
2,1005,"P_educational_lag","Educational lag",0.00122985371854156
2,1005,"bias_w","Spatial bias",-0.0317228697240353
2,1006,"Total_Population","Population",0.0142899788916111
2,1006,"P_age_00_14","Population 0-14",0.0105122942477465
2,1006,"P_age_15_39","Population 15-39",-0.007877167314291
2,1006,"P_read_write","Literacy",-0.00623420858755708
2,1006,"P_internet","Internet",-0.00674146926030517
2,1006,"P_educational_lag","Educational lag",-0.000252232304774225
2,1006,"bias_w","Spatial bias",-0.0353781580924988
2,1007,"Total_Population","Population",0.0150706740096211
2,1007,"P_age_00_14","Population 0-14",0.0120662841945887
2,1007,"P_age_15_39","Population 15-39",-0.00785955600440502
2,1007,"P_read_write","Literacy",-0.00690828170627356
2,1007,"P_internet","Internet",-0.00862884800881147
2,1007,"P_educational_lag","Educational lag",0.000148985011037439
2,1007,"bias_w","Spatial bias",-0.00307953963056207
2,1008,"Total_Population","Population",-0.0223806574940681
2,1008,"P_age_00_14","Population 0-14",0.0185627825558186
