"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
4,0.1,1,1,0.8,1,1,0,137,0.0791666557884534
4,0.1,7,5,1,1,0.5,0.5,90,0.080668356299662
4,0.1,3,1,0.8,1,1,1,79,0.0788961958219675
4,0.05,5,3,1,1,1,1,153,0.0783779420891744
4,0.1,3,3,0.8,1,0.5,1,105,0.0778438510449971
4,0.05,5,1,0.65,0.9,0,0,97,0.082054170160226
4,0.05,1,5,0.65,1,1,0.5,344,0.0785383079366404
4,0.05,7,1,0.65,0.8,1,0,110,0.0806287699814177
4,0.1,3,3,0.8,0.9,0,1,89,0.0791039437765313
4,0.01,5,5,1,0.8,0,1,774,0.0796625705288253
4,0.3,1,1,1,0.9,0.5,0.5,128,0.0781013829246484
4,0.05,7,1,1,0.8,0,0.5,152,0.0809784614713679
4,0.05,3,3,0.8,1,0.5,1,144,0.0796641808535861
4,0.01,5,3,0.8,1,0.5,1,680,0.0772913152932903
4,0.05,3,5,0.65,0.9,0,1,213,0.0781294594751491
4,0.1,1,3,0.8,0.9,0,0,129,0.0787396921916093
4,0.3,5,5,1,1,0,0,24,0.0827127335275056
4,0.01,5,3,0.65,0.9,0,1,857,0.0786856581303822
4,0.1,7,7,0.8,0.8,0,1,144,0.0783625587663376
4,0.1,7,7,1,1,0,0.5,69,0.0791312867259923
4,0.01,5,7,0.65,0.8,1,0.5,659,0.0780828975790941
4,0.3,1,1,1,0.9,1,1,104,0.0789487090469992
4,0.01,7,1,1,0.8,1,0.5,623,0.0798509538058718
4,0.01,5,1,1,1,0.5,1,649,0.0792966454632841
4,0.01,3,3,0.65,0.8,0,0,495,0.0799389063474755
4,0.1,3,1,0.65,0.8,0.5,1,75,0.0794125427687873
4,0.3,3,7,1,0.8,0,1,33,0.0787527106826443
4,0.05,5,5,0.8,1,1,0,112,0.0782487938368394
4,0.1,1,3,1,1,0.5,0,172,0.0792949094852243
4,0.05,1,7,0.65,0.9,1,1,322,0.0795657563494783
4,0.01,3,5,0.65,0.8,1,0.5,665,0.0787829631305524
4,0.05,3,7,0.65,0.8,0.5,1,153,0.0785140653295162
4,0.1,7,5,0.65,0.8,0.5,1,57,0.0781081463176746
4,0.3,5,3,0.65,0.9,0,1,28,0.0815121130729779
4,0.05,3,5,1,0.8,1,0,124,0.0795775121542917
4,0.01,3,7,1,0.9,1,1,949,0.0772024192227605
4,0.1,1,5,1,1,0.5,1,301,0.0785234206217789
4,0.1,5,5,1,1,0.5,1,128,0.0767255920480913
4,0.01,1,5,0.8,1,0,0,1125,0.0792835320790248
4,0.3,5,3,1,0.9,0.5,1,22,0.0791745478218575
4,0.1,5,3,1,1,1,0,50,0.0813317025475867
4,0.3,5,5,0.65,0.8,0.5,0.5,22,0.0801217985633857
4,0.05,5,7,0.65,1,0,1,146,0.0776013412200888
4,0.01,3,1,0.8,0.9,0,0,491,0.0804366530480479
4,0.1,3,3,0.65,1,1,0.5,106,0.0785387829139918
4,0.01,7,3,1,0.9,1,0.5,549,0.0798525562347556
4,0.01,7,3,0.8,0.9,1,0.5,660,0.0787636965887553
4,0.05,7,7,0.65,0.8,0,0,98,0.0781536416048032
4,0.1,1,1,1,0.8,1,0.5,404,0.0786438185423576
4,0.1,1,1,0.65,0.9,1,1,224,0.0774528685439622
4,0.3,7,1,0.65,0.8,0,1,15,0.0819216947533824
4,0.01,7,1,1,1,0,1,683,0.0799558405848759
4,0.1,7,3,1,0.9,0,0,52,0.0824840653641799
4,0.01,5,3,0.8,0.8,0,1,698,0.0781029686795836
4,0.1,3,7,0.65,1,0.5,0.5,66,0.0788489586672119
4,0.3,1,3,1,0.8,0,1,89,0.0797084111581416
4,0.05,3,3,1,0.8,0,0.5,159,0.0801604899213014
4,0.01,3,5,0.8,1,1,0.5,799,0.0785755972627766
4,0.05,7,3,1,0.9,0.5,1,138,0.0791636662120609
4,0.01,3,3,1,0.9,0.5,0,533,0.0796421943856251
4,0.01,7,1,1,1,1,1,658,0.0801427576295163
4,0.3,1,5,0.65,0.9,0,0.5,94,0.0780578047831964
4,0.3,5,5,0.8,0.9,0.5,1,24,0.0805751468494895
4,0.1,5,7,1,0.8,1,0.5,74,0.0798871246840275
4,0.01,3,1,1,0.9,0.5,1,718,0.0793347617263357
4,0.05,3,3,0.8,1,0,0.5,151,0.0797447579407212
4,0.01,3,5,1,0.9,0.5,0,491,0.0799336334416463
4,0.01,1,3,0.65,1,0,0.5,1777,0.0781048051054733
4,0.1,5,1,0.65,0.8,0.5,0,38,0.0811373931416184
4,0.01,1,1,1,0.9,0,1,3121,0.0790988159587478
4,0.05,3,5,0.8,0.9,0.5,0.5,218,0.0784212693844248
4,0.01,5,1,0.8,0.8,0,0.5,718,0.0781852635928585
4,0.1,7,1,0.65,0.9,0.5,0.5,57,0.0806667494151782
4,0.01,1,3,0.65,0.8,0.5,0.5,1183,0.0789228540073023
4,0.1,1,3,0.65,0.9,0,0,160,0.0791897605854611
4,0.05,3,3,1,1,1,1,181,0.078458257547387
4,0.3,7,5,0.65,0.9,1,0.5,15,0.0818323210884211
4,0.1,5,5,0.65,1,0,0,69,0.0805058147871455
4,0.3,1,3,1,0.9,0.5,0,74,0.0784921100854758
4,0.3,3,5,0.8,0.9,0,0,14,0.0825023246246456
4,0.05,7,7,1,0.9,0.5,0,87,0.0820405879373833
4,0.05,1,1,0.8,1,0.5,0,145,0.0785737534516799
4,0.1,1,1,1,0.9,1,0,263,0.0786055266187333
4,0.3,5,5,1,1,1,1,23,0.0779898873870978
