"Area_code","Area_name","Total_Population","Total_active_population","Bias","Map_bias"
7113," Aldama",8480,NA,NA,NA
7028," Chiapilla",6156,NA,NA,NA
7036," La Grandeza",7701,NA,NA,NA
7055," Metapa",5876,NA,NA,NA
7056," Mitontic",13755,NA,NA,NA
7058," Nicolás Ruíz",4765,NA,NA,NA
7060," Ocotepec",14088,NA,NA,NA
7063," Osumacinta",3983,NA,NA,NA
7067," Pantepec",12266,NA,NA,NA
7118," San Andrés Duraznal",6047,NA,NA,NA
7119," Santiago el Pinar",4959,NA,NA,NA
7088," Sunuapa",2308,NA,NA,NA
7105," Unión Juárez",16008,NA,NA,NA
9002," Azcapotzalco",432205,NA,NA,NA
9014," Benito Juárez",434153,NA,NA,NA
9003," Coyoacán",614447,NA,NA,NA
9015," Cuauhtémoc",545884,NA,NA,NA
9005," Gustavo A. Madero",1173351,NA,NA,NA
9006," Iztacalco",404695,NA,NA,NA
11036," Santiago Maravatío",6714,NA,NA,NA
13010," Atitalaquia",31525,NA,NA,NA
13032," Jaltocán",10523,NA,NA,NA
13039," Mineral del Monte",14324,NA,NA,NA
13065," Tetepango",11768,NA,NA,NA
13070," Tlahuelilpan",19067,NA,NA,NA
15006," Almoloya del Río",12694,NA,NA,NA
15012," Atizapán",12984,NA,NA,NA
15013," Atizapán de Zaragoza",523674,NA,NA,NA
15019," Capulhuac",36921,NA,NA,NA
15027," Chapultepec",12772,NA,NA,NA
15028," Chiautla",30045,NA,NA,NA
15029," Chicoloapan",200750,NA,NA,NA
15030," Chiconcuac",27692,NA,NA,NA
15031," Chimalhuacán",705193,NA,NA,NA
15022," Cocotitlán",15107,NA,NA,NA
15023," Coyotepec",40885,NA,NA,NA
15024," Cuautitlán",178847,NA,NA,NA
15034," Ecatzingo",10827,NA,NA,NA
15038," Isidro Fabela",11929,NA,NA,NA
15044," Jaltenco",28217,NA,NA,NA
15049," Joquicingo",15428,NA,NA,NA
15053," Melchor Ocampo",61220,NA,NA,NA
15055," Mexicaltzingo",13807,NA,NA,NA
15059," Nextlalpan",57082,NA,NA,NA
15058," Nezahualcóyotl",1077208,NA,NA,NA
15061," Nopaltepec",10351,NA,NA,NA
15068," Ozumba",30785,NA,NA,NA
15069," Papalotla",4862,NA,NA,NA
15072," Rayón",15972,NA,NA,NA
15075," San Martín de las Pirámides",29182,NA,NA,NA
15083," Temamatla",14130,NA,NA,NA
15089," Tenango del Aire",11359,NA,NA,NA
15091," Teoloyucan",65459,NA,NA,NA
15098," Texcalyacac",5736,NA,NA,NA
15125," Tonanitla",14883,NA,NA,NA
15108," Tultepec",157645,NA,NA,NA
